response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
18.0659,0.0501,0.0000,0.0001,18.0151,0.0001,200,0.2824
18.1031,0.0506,0.0000,0.0000,18.0522,0.0001,200,0.2825
18.4372,0.0503,0.0000,0.0000,18.3864,0.0001,200,0.2824
19.1147,0.0504,0.0000,0.0001,19.0639,0.0001,200,0.2826
11.0795,0.0477,0.0000,0.0001,11.0315,0.0001,200,18.7196
11.5621,0.0478,0.0000,0.0000,11.5141,0.0001,200,18.3483
11.8991,0.0550,0.0000,0.0000,11.8439,0.0002,200,18.3856
11.3337,0.0524,0.0000,0.0001,11.2811,0.0001,200,19.3972
10.0933,0.0489,0.0000,0.0001,10.0442,0.0001,200,29.7991
10.2140,0.0611,0.0000,0.0001,10.1527,0.0001,200,29.9104
11.0438,0.0539,0.0000,0.0000,10.9897,0.0001,200,30.2847
10.9537,0.0477,0.0000,0.0001,10.9059,0.0001,200,30.7310
6.7879,0.0473,0.0000,0.0001,6.7405,0.0001,200,39.8924
8.8555,0.0474,0.0000,0.0001,8.8078,0.0002,200,40.1244
14.4555,1.0762,0.0000,0.0001,13.3791,0.0001,200,41.3285
14.4819,0.0483,0.0000,0.0001,14.4334,0.0001,200,41.6847
10.3489,0.0476,0.0000,0.0001,10.3011,0.0001,200,48.9799
12.8033,0.0474,0.0000,0.0001,12.7557,0.0001,200,46.6804
7.6923,0.0478,0.0000,0.0001,7.6443,0.0001,200,55.7841
7.5053,0.0477,0.0000,0.0001,7.4574,0.0001,200,56.1666
8.1061,0.0687,0.0000,0.0001,8.0373,0.0001,200,59.4836
8.4301,0.0686,0.0000,0.0001,8.3613,0.0001,200,59.3289
