response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset,size
21.7207,0.0596,0.0000,0.0001,21.6608,0.0001,200,0.2448,923
22.1723,0.0595,0.0000,0.0001,22.1124,0.0001,200,0.2448,900
19.3972,0.0582,0.0000,0.0001,19.3388,0.0001,200,21.9656,969
19.2343,0.0423,0.0000,0.0001,19.1916,0.0002,200,22.4171,992
18.5359,0.0460,0.0000,0.0001,18.4897,0.0001,200,41.3627,966
18.6402,0.0463,0.0000,0.0001,18.5936,0.0002,200,41.6514,963
13.8422,0.0407,0.0000,0.0001,13.8013,0.0001,200,419.8998,1120
14.1787,0.0417,0.0000,0.0001,14.1367,0.0002,200,420.2926,1122
19.7864,0.0410,0.0000,0.0001,19.7451,0.0001,200,434.4713,1128
13.8489,0.0429,0.0000,0.0001,13.8057,0.0002,200,454.2577,1123
19.8898,0.0405,0.0000,0.0001,19.8490,0.0001,200,468.1066,1127
12.9289,0.0415,0.0000,0.0001,12.8870,0.0002,200,487.9963,1123
11.8180,0.0407,0.0000,0.0001,11.7772,0.0001,200,500.9252,1124
16.2486,0.0440,0.0000,0.0001,16.2044,0.0001,200,512.7432,1122
10.9566,0.0407,0.0000,0.0001,10.9156,0.0002,200,553.7423,1113
7.0700,0.0419,0.0000,0.0001,7.0277,0.0002,200,564.6990,1112
11.3968,0.0406,0.0000,0.0001,11.3561,0.0001,200,571.7689,985
10.5944,0.0406,0.0000,0.0001,10.5535,0.0002,200,583.1657,985
14.9425,0.0418,0.0000,0.0001,14.9005,0.0001,200,593.7602,1124
11.0637,0.0414,0.0000,0.0001,11.0221,0.0001,200,608.7027,1125
12.3013,0.0418,0.0000,0.0001,12.2593,0.0001,200,619.7664,1127
9.9723,0.0406,0.0000,0.0001,9.9315,0.0001,200,632.0677,1127
10.9625,0.0409,0.0000,0.0001,10.9214,0.0001,200,642.0400,1075
9.4720,0.0412,0.0000,0.0001,9.4306,0.0001,200,648.9922,980
9.8398,0.0407,0.0000,0.0001,9.7988,0.0001,200,653.0025,984
15.3914,0.0410,0.0000,0.0001,15.3502,0.0002,200,658.4643,961
12.5517,0.0408,0.0000,0.0001,12.5107,0.0001,200,662.8423,965
11.4088,0.0407,0.0000,0.0001,11.3679,0.0001,200,673.8557,964
14.5493,0.0404,0.0000,0.0001,14.5087,0.0001,200,675.3940,960
7.2472,0.0412,0.0000,0.0001,7.2057,0.0002,200,685.2645,961
12.5377,0.0404,0.0000,0.0001,12.4970,0.0002,200,689.9433,983
10.9956,0.0416,0.0000,0.0001,10.9537,0.0002,200,692.5118,960
19.3311,0.0404,0.0000,0.0001,19.2905,0.0002,200,703.5073,958
7.5036,0.0413,0.0000,0.0001,7.4620,0.0001,200,722.8384,984
7.0749,0.0534,0.0000,0.0001,7.0212,0.0002,200,730.3420,981
6.9774,0.0412,0.0000,0.0001,6.9359,0.0001,200,737.4169,982
10.2715,0.0405,0.0000,0.0001,10.2307,0.0001,200,744.3943,1116
