response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
30.0002,0.0463,0.0000,0.0000,0.6272,29.3265,200,0.2149
30.0002,0.0466,0.0000,0.0000,9.6226,20.3310,200,0.2149
30.0002,0.0462,0.0000,0.0000,4.6190,25.3349,200,0.2150
30.0001,0.0463,0.0000,0.0000,8.6187,21.3350,200,0.2151
30.0001,0.0460,0.0000,0.0001,3.6110,26.3430,200,0.2153
30.0003,0.0460,0.0000,0.0000,7.6183,22.3358,200,0.2152
30.0004,0.0465,0.0000,0.0000,5.6169,24.3369,200,0.2152
30.0001,0.0461,0.0000,0.0000,1.6082,28.3458,200,0.2155
30.0003,0.0461,0.0000,0.0001,2.6139,27.3401,200,0.2153
30.0009,0.0454,0.0000,0.0001,6.6185,23.3363,200,0.2155
30.0003,0.0493,0.0000,0.0000,3.6323,26.3186,200,30.2151
30.0002,0.0490,0.0000,0.0001,9.6404,20.3107,200,30.2151
30.0001,0.0499,0.0000,0.0000,1.6301,28.3201,200,30.2153
30.0001,0.0502,0.0000,0.0000,2.6329,27.3170,200,30.2154
30.0001,0.0500,0.0000,0.0001,8.6392,21.3108,200,30.2155
30.0004,0.0491,0.0000,0.0000,0.6565,29.2948,200,30.2152
30.0002,0.0505,0.0000,0.0000,5.6333,24.3162,200,30.2156
30.0002,0.0497,0.0000,0.0000,6.6365,23.3139,200,30.2156
30.0003,0.0498,0.0000,0.0000,4.6351,25.3153,200,30.2156
30.0002,0.0500,0.0000,0.0000,7.6350,22.3151,200,30.2164
30.0002,0.0490,0.0000,0.0000,5.8026,24.1486,200,60.2153
30.0002,0.0490,0.0000,0.0001,4.8046,25.1465,200,60.2154
30.0001,0.0501,0.0000,0.0000,9.8061,20.1440,200,60.2156
30.0002,0.0491,0.0000,0.0000,0.7927,29.1584,200,60.2155
30.0001,0.0497,0.0000,0.0001,6.8063,23.1440,200,60.2158
30.0001,0.0494,0.0000,0.0000,8.8093,21.1414,200,60.2159
30.0007,0.0495,0.0000,0.0000,3.8017,26.1494,200,60.2156
30.0005,0.0495,0.0000,0.0000,1.7930,28.1579,200,60.2157
30.0010,0.0495,0.0000,0.0000,2.7972,27.1543,200,60.2154
30.0002,0.0491,0.0000,0.0000,7.8064,22.1446,200,60.2166
30.0002,0.0467,0.0000,0.0000,2.6429,27.3106,200,90.2156
30.0002,0.0472,0.0000,0.0000,4.6461,25.3068,200,90.2156
30.0001,0.0475,0.0000,0.0000,3.6385,26.3141,200,90.2157
30.0002,0.0482,0.0000,0.0001,1.6371,28.3148,200,90.2158
30.0002,0.0471,0.0000,0.0001,0.7118,29.2412,200,90.2159
30.0001,0.0485,0.0000,0.0000,7.6451,22.3065,200,90.2160
30.0001,0.0485,0.0000,0.0000,6.6403,23.3113,200,90.2163
30.0001,0.0485,0.0000,0.0000,8.6431,21.3084,200,90.2163
30.0001,0.0486,0.0000,0.0000,9.6472,20.3042,200,90.2164
30.0004,0.0499,0.0000,0.0000,5.6377,24.3128,200,90.2167
30.0001,0.0486,0.0000,0.0000,4.4696,25.4819,200,120.2158
30.0001,0.0485,0.0000,0.0000,6.4750,23.4766,200,120.2158
30.0001,0.0468,0.0000,0.0000,7.4761,22.4771,200,120.2159
30.0001,0.0465,0.0000,0.0001,2.4748,27.4787,200,120.2159
30.0001,0.0482,0.0000,0.0000,1.4695,28.4824,200,120.2161
30.0001,0.0483,0.0000,0.0003,8.4788,21.4727,200,120.2162
30.0001,0.0480,0.0000,0.0000,5.4761,24.4760,200,120.2164
30.0001,0.0480,0.0000,0.0001,3.4714,26.4807,200,120.2164
30.0001,0.0483,0.0000,0.0000,0.6002,29.3515,200,120.2165
30.0003,0.0474,0.0000,0.0000,9.4793,20.4735,200,120.2171
30.0001,0.0476,0.0000,0.0000,0.6233,29.3292,200,150.2159
30.0002,0.0480,0.0000,0.0001,7.6149,22.3373,200,150.2160
30.0003,0.0479,0.0000,0.0000,2.6067,27.3455,200,150.2159
30.0001,0.0474,0.0000,0.0000,4.6109,25.3418,200,150.2162
30.0003,0.0480,0.0000,0.0001,8.6167,21.3355,200,150.2160
30.0002,0.0478,0.0000,0.0000,1.6046,28.3478,200,150.2163
30.0001,0.0477,0.0000,0.0000,3.6094,26.3430,200,150.2165
30.0001,0.0476,0.0000,0.0000,6.6142,23.3384,200,150.2165
30.0001,0.0484,0.0000,0.0000,5.6203,24.3314,200,150.2166
30.0001,0.0484,0.0000,0.0001,9.6199,20.3316,200,150.2174
30.0001,0.0443,0.0000,0.0000,7.5918,22.3640,200,180.2160
30.0001,0.0462,0.0000,0.0000,5.5858,24.3681,200,180.2163
30.0002,0.0457,0.0000,0.0000,0.5979,29.3565,200,180.2162
30.0002,0.0463,0.0000,0.0000,4.5864,25.3675,200,180.2163
30.0005,0.0457,0.0000,0.0000,8.5907,21.3640,200,180.2162
30.0001,0.0464,0.0000,0.0000,6.5876,23.3661,200,180.2166
30.0002,0.0462,0.0000,0.0000,2.5833,27.3707,200,180.2166
30.0003,0.0462,0.0000,0.0000,1.5815,28.3725,200,180.2165
30.0002,0.0473,0.0000,0.0000,3.5834,26.3694,200,180.2167
30.0002,0.0463,0.0000,0.0000,9.5908,20.3630,200,180.2175
30.0001,0.0444,0.0000,0.0001,3.5721,26.3836,200,210.2161
30.0002,0.0459,0.0000,0.0000,7.5747,22.3795,200,210.2164
30.0004,0.0450,0.0000,0.0000,0.5786,29.3768,200,210.2164
30.0003,0.0465,0.0000,0.0000,8.5754,21.3782,200,210.2166
30.0001,0.0464,0.0000,0.0000,9.5756,20.3780,200,210.2168
30.0001,0.0474,0.0000,0.0000,2.5660,27.3867,200,210.2169
30.0003,0.0466,0.0000,0.0000,1.5667,28.3870,200,210.2167
30.0003,0.0465,0.0000,0.0000,5.5727,24.3812,200,210.2167
30.0003,0.0466,0.0000,0.0001,4.5676,25.3860,200,210.2169
30.0001,0.0472,0.0000,0.0000,6.5696,23.3833,200,210.2177
30.0002,0.0448,0.0000,0.0001,3.5873,26.3680,200,240.2162
30.0002,0.0477,0.0000,0.0000,8.5915,21.3609,200,240.2166
30.0001,0.0479,0.0000,0.0000,2.5808,27.3714,200,240.2170
30.0002,0.0477,0.0000,0.0000,0.5942,29.3583,200,240.2168
30.0003,0.0478,0.0000,0.0000,6.5885,23.3639,200,240.2168
30.0003,0.0483,0.0000,0.0000,7.5898,22.3621,200,240.2169
30.0003,0.0474,0.0000,0.0000,4.5833,25.3695,200,240.2170
30.0002,0.0476,0.0000,0.0000,1.5833,28.3693,200,240.2171
30.0001,0.0484,0.0000,0.0000,5.5867,24.3650,200,240.2172
30.0002,0.0485,0.0000,0.0000,9.5918,20.3598,200,240.2178
30.0002,0.0470,0.0000,0.0001,9.5243,20.4288,200,270.2165
30.0001,0.0468,0.0000,0.0000,0.5709,29.3824,200,270.2168
30.0001,0.0469,0.0000,0.0000,7.5166,22.4365,200,270.2171
30.0001,0.0489,0.0000,0.0000,1.5179,28.4333,200,270.2171
30.0001,0.0465,0.0000,0.0000,8.5191,21.4345,200,270.2171
30.0001,0.0487,0.0000,0.0000,2.5086,27.4428,200,270.2173
30.0002,0.0466,0.0000,0.0000,4.5119,25.4417,200,270.2172
30.0001,0.0482,0.0000,0.0001,5.5112,24.4407,200,270.2174
