response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset,size
12.3296,0.0415,0.0000,0.0001,12.2878,0.0002,200,0.2319,1106
12.5857,0.0414,0.0000,0.0003,12.5439,0.0001,200,0.2319,1107
11.1519,0.0583,0.0000,0.0001,11.0934,0.0002,200,12.5615,1108
10.9458,0.0564,0.0000,0.0001,10.8891,0.0002,200,12.8176,1108
14.7575,0.0406,0.0000,0.0001,14.7167,0.0001,200,23.7634,1108
15.6110,0.0408,0.0000,0.0001,15.5699,0.0001,200,23.7135,1108
15.3082,0.0415,0.0000,0.0001,15.2664,0.0002,200,38.5209,1052
14.7356,0.0419,0.0000,0.0001,14.6934,0.0002,200,39.3245,1052
10.8954,0.0405,0.0000,0.0001,10.8547,0.0002,200,53.8291,1109
10.6868,0.0408,0.0000,0.0001,10.6458,0.0001,200,54.0601,1109
9.8801,0.0411,0.0000,0.0001,9.8387,0.0002,200,64.7245,1107
10.0182,0.0500,0.0000,0.0001,9.9680,0.0001,200,64.7469,1107
10.1891,0.0418,0.0000,0.0001,10.1471,0.0001,200,74.6046,1105
10.0409,0.0413,0.0000,0.0001,9.9993,0.0002,200,74.7651,1105
9.7759,0.0415,0.0000,0.0001,9.7341,0.0001,200,84.7937,1100
9.7756,0.0406,0.0000,0.0001,9.7348,0.0001,200,84.8060,1100
12.1725,0.0412,0.0000,0.0001,12.1310,0.0001,200,214.5818,1100
12.3135,0.0425,0.0000,0.0001,12.2707,0.0002,200,214.5699,1100
13.8422,0.0424,0.0000,0.0001,13.7993,0.0003,200,226.7543,1100
13.7632,0.0427,0.0000,0.0001,13.7202,0.0001,200,226.8834,1100
10.4326,0.0406,0.0000,0.0001,10.3917,0.0002,200,240.5965,1101
10.6272,0.0421,0.0000,0.0001,10.5849,0.0001,200,240.6466,1101
13.2972,0.0580,0.0000,0.0001,13.2389,0.0001,200,251.0291,1100
13.1752,0.0413,0.0000,0.0001,13.1337,0.0001,200,251.2738,1100
9.4537,0.0415,0.0000,0.0001,9.4119,0.0002,200,264.4490,1099
9.8094,0.0408,0.0000,0.0001,9.7683,0.0002,200,264.3263,1100
9.5305,0.0408,0.0000,0.0001,9.4894,0.0001,200,273.9027,1101
9.5991,0.0411,0.0000,0.0001,9.5577,0.0001,200,274.1357,1099
14.6931,0.0424,0.0000,0.0001,14.6503,0.0002,200,283.7348,1099
15.3520,0.0437,0.0000,0.0001,15.3081,0.0001,200,283.4332,1097
9.0810,0.0410,0.0000,0.0001,9.0398,0.0001,200,298.4279,1042
8.7396,0.0410,0.0000,0.0001,8.6984,0.0001,200,298.7851,1042
9.6663,0.0577,0.0000,0.0001,9.6084,0.0001,200,307.5089,1117
9.6951,0.0560,0.0000,0.0161,9.6229,0.0001,200,307.5247,1117
9.5911,0.0409,0.0000,0.0001,9.5500,0.0001,200,317.2199,1116
9.8520,0.0413,0.0000,0.0001,9.8105,0.0001,200,317.1752,1116
13.5032,0.0416,0.0000,0.0001,13.4613,0.0002,200,326.8110,1122
13.6081,0.0408,0.0000,0.0001,13.5670,0.0002,200,327.0272,1122
10.1102,0.0410,0.0000,0.0001,10.0689,0.0001,200,340.3142,1117
10.1157,0.0419,0.0000,0.0001,10.0735,0.0001,200,340.6353,1116
10.0070,0.0412,0.0000,0.0001,9.9655,0.0002,200,350.4245,1120
9.8095,0.0460,0.0000,0.0001,9.7633,0.0001,200,350.7510,1120
12.5928,0.0610,0.0000,0.0001,12.5316,0.0001,200,360.4315,978
12.6593,0.0413,0.0000,0.0001,12.6178,0.0001,200,360.5605,978
9.3837,0.0407,0.0000,0.0001,9.3427,0.0001,200,373.0243,982
9.7923,0.0441,0.0000,0.0001,9.7480,0.0001,200,373.2199,983
13.9163,0.0407,0.0000,0.0001,13.8754,0.0001,200,382.4080,978
13.7354,0.0407,0.0000,0.0001,13.6944,0.0002,200,383.0122,977
9.0049,0.0419,0.0000,0.0001,8.9626,0.0001,200,396.3243,980
8.8360,0.0416,0.0000,0.0001,8.7941,0.0001,200,396.7476,978
9.2718,0.0525,0.0000,0.0001,9.2191,0.0001,200,405.3291,978
9.0297,0.0559,0.0000,0.0001,8.9736,0.0001,200,405.5835,978
10.0211,0.0428,0.0000,0.0001,9.9781,0.0002,200,414.6133,979
8.1608,0.0420,0.0000,0.0001,8.1185,0.0001,200,424.6344,976
7.8980,0.0417,0.0000,0.0001,7.8560,0.0001,200,432.7952,980
7.0058,0.0410,0.0000,0.0001,6.9646,0.0001,200,440.6931,982
7.1211,0.0418,0.0000,0.0001,7.0790,0.0001,200,447.6989,979
7.1793,0.0412,0.0000,0.0001,7.1378,0.0001,200,454.8200,980
9.9924,0.0417,0.0000,0.0001,9.9505,0.0001,200,461.9993,982
7.0654,0.0418,0.0000,0.0001,7.0232,0.0003,200,471.9917,980
6.8008,0.0410,0.0000,0.0001,6.7596,0.0001,200,479.0571,978
7.8145,0.0414,0.0000,0.0001,7.7728,0.0001,200,485.8579,980
7.1672,0.0420,0.0000,0.0001,7.1249,0.0001,200,493.6724,978
10.2657,0.0402,0.0000,0.0001,10.2253,0.0001,200,500.8395,980
7.5022,0.0415,0.0000,0.0001,7.4605,0.0001,200,511.1053,981
6.9290,0.0424,0.0000,0.0001,6.8863,0.0001,200,518.6075,986
7.2574,0.0407,0.0000,0.0001,7.2164,0.0001,200,525.5365,978
7.4073,0.0410,0.0000,0.0001,7.3660,0.0001,200,534.6014,979
10.6820,0.0884,0.0000,0.0001,10.5933,0.0001,200,542.0087,980
8.1856,0.0412,0.0000,0.0001,8.1442,0.0001,200,552.6907,984
7.0581,0.0423,0.0000,0.0001,7.0155,0.0001,200,560.8762,982
7.0238,0.0564,0.0000,0.0001,6.9671,0.0001,200,567.9343,983
7.0673,0.0413,0.0000,0.0001,7.0257,0.0002,200,574.9581,984
7.7210,0.0538,0.0000,0.0001,7.6669,0.0001,200,582.0254,1113
8.2071,0.0411,0.0000,0.0001,8.1659,0.0001,200,589.7463,1114
7.1555,0.0405,0.0000,0.0001,7.1148,0.0001,200,597.9535,1113
6.9240,0.0421,0.0000,0.0001,6.8813,0.0004,200,605.1090,1103
7.2547,0.0420,0.0000,0.0001,7.2124,0.0001,200,612.0330,1103
6.9823,0.0417,0.0000,0.0001,6.9403,0.0002,200,619.2877,1101
7.1446,0.0634,0.0000,0.0001,7.0809,0.0001,200,626.2700,1113
10.8867,0.0426,0.0000,0.0001,10.8439,0.0001,200,633.4147,1103
7.5369,0.0596,0.0000,0.0001,7.4770,0.0001,200,644.3014,1103
7.9083,0.0417,0.0000,0.0001,7.8663,0.0001,200,651.8383,1114
8.7214,0.0415,0.0000,0.0001,8.6797,0.0001,200,652.7942,1111
7.3211,0.0427,0.0000,0.0001,7.2782,0.0001,200,659.7466,1104
8.1865,0.0433,0.0000,0.0001,8.1429,0.0002,200,661.5156,1104
12.7741,0.0412,0.0000,0.0001,12.7326,0.0001,200,667.0677,1101
10.1903,0.0522,0.0000,0.0001,10.1380,0.0001,200,669.7020,1101
9.5039,0.0408,0.0000,0.0001,9.4628,0.0002,200,679.8924,1112
9.8197,0.0412,0.0000,0.0001,9.7783,0.0001,200,679.8418,1112
12.1329,0.0411,0.0000,0.0001,12.0916,0.0001,200,689.3963,1111
12.1377,0.0518,0.0000,0.0001,12.0857,0.0001,200,689.6615,1113
9.1597,0.0424,0.0000,0.0001,9.1171,0.0001,200,701.7992,1115
9.7558,0.0418,0.0000,0.0001,9.7137,0.0001,200,701.5292,1113
