response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset,size
0.0828,0.0013,0.0000,0.0002,0.0811,0.0001,403,0.3542,77
0.0827,0.0013,0.0000,0.0003,0.0810,0.0001,403,0.3543,77
0.0055,0.0004,0.0000,0.0001,0.0049,0.0001,403,0.4370,77
0.0055,0.0004,0.0000,0.0001,0.0050,0.0000,403,0.4370,77
0.0046,0.0004,0.0000,0.0000,0.0040,0.0001,403,0.4425,77
0.0046,0.0004,0.0000,0.0000,0.0040,0.0001,403,0.4425,77
0.0039,0.0004,0.0000,0.0000,0.0033,0.0001,403,0.4471,77
0.0040,0.0004,0.0000,0.0000,0.0034,0.0001,403,0.4471,77
0.0044,0.0004,0.0000,0.0001,0.0038,0.0001,403,0.4511,77
0.0044,0.0006,0.0000,0.0000,0.0036,0.0001,403,0.4511,77
0.0044,0.0006,0.0000,0.0000,0.0037,0.0001,403,0.4555,77
0.0044,0.0006,0.0000,0.0001,0.0036,0.0001,403,0.4555,77
0.0045,0.0004,0.0000,0.0000,0.0040,0.0001,403,0.4599,77
0.0045,0.0004,0.0000,0.0000,0.0040,0.0001,403,0.4599,77
0.0037,0.0004,0.0000,0.0000,0.0032,0.0001,403,0.4644,77
0.0041,0.0004,0.0000,0.0000,0.0035,0.0000,403,0.4644,77
0.0037,0.0005,0.0000,0.0000,0.0032,0.0000,403,0.4685,77
0.0041,0.0005,0.0000,0.0000,0.0035,0.0000,403,0.4682,77
0.0037,0.0005,0.0000,0.0000,0.0032,0.0000,403,0.4722,77
0.0038,0.0004,0.0000,0.0000,0.0033,0.0000,403,0.4723,77
0.0039,0.0004,0.0000,0.0000,0.0033,0.0001,403,0.4760,77
0.0038,0.0003,0.0000,0.0000,0.0034,0.0000,403,0.4761,77
0.0045,0.0004,0.0000,0.0000,0.0040,0.0001,403,0.4799,77
0.0045,0.0004,0.0000,0.0000,0.0040,0.0001,403,0.4799,77
0.0035,0.0004,0.0000,0.0000,0.0030,0.0001,403,0.4843,77
0.0036,0.0004,0.0000,0.0000,0.0032,0.0000,403,0.4844,77
0.0034,0.0003,0.0000,0.0000,0.0030,0.0000,403,0.4880,77
0.0036,0.0004,0.0000,0.0000,0.0031,0.0000,403,0.4879,77
0.0034,0.0004,0.0000,0.0000,0.0029,0.0000,403,0.4914,77
0.0034,0.0004,0.0000,0.0000,0.0029,0.0000,403,0.4915,77
0.0033,0.0005,0.0000,0.0000,0.0028,0.0000,403,0.4948,77
0.0033,0.0003,0.0000,0.0000,0.0028,0.0000,403,0.4949,77
0.0033,0.0004,0.0000,0.0000,0.0028,0.0000,403,0.4982,77
0.0033,0.0004,0.0000,0.0000,0.0028,0.0000,403,0.4982,77
0.0035,0.0004,0.0000,0.0000,0.0029,0.0001,403,0.5015,77
0.0035,0.0004,0.0000,0.0000,0.0030,0.0001,403,0.5015,77
0.0035,0.0003,0.0000,0.0000,0.0030,0.0001,403,0.5050,77
0.0036,0.0004,0.0000,0.0000,0.0030,0.0000,403,0.5049,77
0.0037,0.0004,0.0000,0.0001,0.0032,0.0001,403,0.5085,77
0.0037,0.0004,0.0000,0.0000,0.0032,0.0001,403,0.5085,77
0.0037,0.0005,0.0000,0.0000,0.0031,0.0001,403,0.5122,77
0.0037,0.0004,0.0000,0.0000,0.0031,0.0001,403,0.5122,77
0.0035,0.0004,0.0000,0.0000,0.0030,0.0000,403,0.5159,77
0.0035,0.0004,0.0000,0.0000,0.0030,0.0000,403,0.5159,77
0.0039,0.0004,0.0000,0.0000,0.0034,0.0001,403,0.5195,77
0.0039,0.0004,0.0000,0.0000,0.0034,0.0001,403,0.5195,77
0.0034,0.0005,0.0000,0.0000,0.0029,0.0000,403,0.5234,77
0.0035,0.0004,0.0000,0.0000,0.0030,0.0000,403,0.5234,77
0.0033,0.0004,0.0000,0.0000,0.0027,0.0000,403,0.5268,77
0.0032,0.0004,0.0000,0.0000,0.0028,0.0000,403,0.5269,77
0.0032,0.0004,0.0000,0.0000,0.0027,0.0000,403,0.5301,77
0.0032,0.0004,0.0000,0.0000,0.0027,0.0000,403,0.5301,77
0.0035,0.0004,0.0000,0.0000,0.0030,0.0001,403,0.5333,77
0.0035,0.0004,0.0000,0.0000,0.0030,0.0001,403,0.5333,77
0.0035,0.0004,0.0000,0.0000,0.0030,0.0001,403,0.5369,77
0.0035,0.0004,0.0000,0.0000,0.0030,0.0001,403,0.5369,77
0.0035,0.0004,0.0000,0.0000,0.0030,0.0001,403,0.5404,77
0.0035,0.0004,0.0000,0.0000,0.0030,0.0001,403,0.5404,77
0.0037,0.0004,0.0000,0.0000,0.0031,0.0001,403,0.5439,77
0.0037,0.0004,0.0000,0.0000,0.0031,0.0000,403,0.5439,77
0.0035,0.0004,0.0000,0.0000,0.0030,0.0001,403,0.5476,77
0.0036,0.0005,0.0000,0.0000,0.0030,0.0000,403,0.5476,77
0.0031,0.0004,0.0000,0.0000,0.0026,0.0001,403,0.5511,77
0.0032,0.0005,0.0000,0.0000,0.0026,0.0001,403,0.5511,77
0.0035,0.0005,0.0000,0.0000,0.0030,0.0000,403,0.5542,77
0.0035,0.0004,0.0000,0.0000,0.0030,0.0000,403,0.5543,77
0.0035,0.0004,0.0000,0.0000,0.0030,0.0000,403,0.5578,77
0.0035,0.0004,0.0000,0.0000,0.0030,0.0001,403,0.5578,77
0.0037,0.0004,0.0000,0.0000,0.0032,0.0001,403,0.5613,77
0.0037,0.0004,0.0000,0.0000,0.0032,0.0001,403,0.5613,77
0.0035,0.0004,0.0000,0.0000,0.0030,0.0001,403,0.5650,77
0.0035,0.0004,0.0000,0.0000,0.0030,0.0001,403,0.5650,77
0.0034,0.0004,0.0000,0.0000,0.0029,0.0000,403,0.5686,77
0.0034,0.0004,0.0000,0.0000,0.0029,0.0000,403,0.5686,77
0.0035,0.0004,0.0000,0.0000,0.0029,0.0000,403,0.5720,77
0.0035,0.0004,0.0000,0.0000,0.0030,0.0000,403,0.5720,77
