response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset,size
7.3700,0.0052,0.0000,0.0033,7.3600,0.0003,200,0.6131,1123
6.1574,0.0041,0.0000,0.0002,6.1527,0.0004,200,7.9831,1125
6.0550,0.0043,0.0000,0.0003,6.0499,0.0004,200,134.1414,923
6.1727,0.0034,0.0000,0.0001,6.1687,0.0004,200,140.1964,1083
5.8328,0.0060,0.0000,0.0003,5.8258,0.0006,200,146.3692,1077
5.8097,0.0083,0.0000,0.0001,5.8008,0.0004,200,152.2020,945
5.8642,0.0035,0.0000,0.0003,5.8599,0.0005,200,158.0117,971
5.7779,0.0047,0.0000,0.0003,5.7725,0.0003,200,163.8759,987
5.9975,0.0043,0.0000,0.0003,5.9924,0.0004,200,169.6539,1102
5.8969,0.0034,0.0000,0.0001,5.8928,0.0005,200,175.6514,1062
5.7607,0.0058,0.0000,0.0001,5.7542,0.0004,200,181.5483,1101
5.6898,0.0043,0.0000,0.0001,5.6850,0.0004,200,187.3090,1100
6.0866,0.0042,0.0000,0.0002,6.0814,0.0008,200,192.9988,1081
5.8520,0.0036,0.0000,0.0002,5.8476,0.0005,200,199.0854,966
5.8039,0.0041,0.0000,0.0002,5.7984,0.0009,200,204.9374,985
5.5833,0.0035,0.0000,0.0003,5.5789,0.0005,200,210.7414,981
5.8775,0.0062,0.0000,0.0001,5.8706,0.0004,200,216.3247,926
6.2896,0.0035,0.0000,0.0001,6.2854,0.0006,200,222.2022,963
5.7114,0.0034,0.0000,0.0001,5.7070,0.0005,200,228.4918,946
6.0365,0.0039,0.0000,0.0001,6.0318,0.0004,200,234.2032,967
5.4028,0.0033,0.0000,0.0001,5.3988,0.0005,200,240.2397,949
5.4653,0.0035,0.0000,0.0001,5.4611,0.0003,200,245.6425,939
5.4281,0.0029,0.0000,0.0002,5.4245,0.0004,200,251.1078,968
5.6137,0.0050,0.0000,0.0003,5.6081,0.0003,200,256.5359,983
5.5361,0.0034,0.0000,0.0001,5.5322,0.0004,200,262.1496,985
5.6311,0.0038,0.0000,0.0001,5.6268,0.0003,200,267.6857,967
5.5936,0.0052,0.0000,0.0003,5.5876,0.0004,200,273.3168,928
5.5698,0.0050,0.0000,0.0001,5.5640,0.0004,200,278.9104,963
5.5768,0.0035,0.0000,0.0001,5.5726,0.0005,200,284.4801,947
5.3981,0.0036,0.0000,0.0001,5.3940,0.0003,200,290.0569,966
6.0633,0.0036,0.0000,0.0001,6.0590,0.0004,200,295.4550,945
5.5755,0.0042,0.0000,0.0001,5.5707,0.0004,200,301.5183,967
5.9143,0.0032,0.0000,0.0001,5.9106,0.0003,200,307.0938,969
5.5598,0.0043,0.0000,0.0001,5.5549,0.0004,200,313.0081,968
6.3034,0.0053,0.0000,0.0004,6.2972,0.0004,200,318.5679,966
5.5126,0.0041,0.0000,0.0003,5.5072,0.0003,200,324.8713,1101
5.6145,0.0036,0.0000,0.0001,5.6096,0.0011,200,330.3839,968
5.4962,0.0040,0.0000,0.0002,5.4915,0.0003,200,335.9984,970
5.4997,0.0058,0.0000,0.0001,5.4934,0.0004,200,341.4946,949
5.4733,0.0065,0.0000,0.0001,5.4663,0.0004,200,346.9943,944
5.8935,0.0047,0.0000,0.0001,5.8882,0.0003,200,352.4677,962
5.4430,0.0042,0.0000,0.0003,5.4381,0.0004,200,358.3612,947
5.4379,0.0052,0.0000,0.0002,5.4319,0.0005,200,363.8042,967
5.8699,0.0062,0.0000,0.0003,5.8629,0.0005,200,369.2421,946
5.5317,0.0038,0.0000,0.0001,5.5272,0.0005,200,375.1120,948
6.2503,0.0060,0.0000,0.0003,6.2430,0.0007,200,380.6438,968
5.4243,0.0040,0.0000,0.0004,5.4192,0.0006,200,386.8940,984
5.6478,0.0038,0.0000,0.0001,5.6432,0.0003,200,392.3183,965
6.7727,0.0036,0.0000,0.0001,6.7685,0.0004,200,397.9661,1104
5.7764,0.0049,0.0000,0.0002,5.7710,0.0003,200,404.7388,1080
5.9906,0.0031,0.0000,0.0001,5.9870,0.0003,200,410.5153,1099
5.5329,0.0042,0.0000,0.0001,5.5281,0.0004,200,416.5058,1083
5.6231,0.0041,0.0000,0.0001,5.6185,0.0004,200,422.0387,1098
5.6255,0.0040,0.0000,0.0001,5.6208,0.0004,200,427.6619,1084
5.8024,0.0036,0.0000,0.0003,5.7981,0.0004,200,433.2874,1081
6.1410,0.0067,0.0000,0.0001,6.1338,0.0004,200,439.0898,1112
5.4744,0.0036,0.0000,0.0001,5.4700,0.0007,200,445.2308,1103
5.3717,0.0035,0.0000,0.0001,5.3672,0.0005,200,450.7052,1103
5.5377,0.0146,0.0000,0.0001,5.5221,0.0006,200,456.0769,1123
5.9530,0.0039,0.0000,0.0003,5.9484,0.0004,200,461.6146,1103
5.6155,0.0038,0.0000,0.0001,5.6110,0.0004,200,467.5677,1102
5.5091,0.0036,0.0000,0.0002,5.5047,0.0004,200,473.1832,1120
5.4825,0.0045,0.0000,0.0005,5.4771,0.0004,200,478.6923,1120
5.5119,0.0106,0.0000,0.0001,5.5008,0.0003,200,484.1747,1104
5.4760,0.0036,0.0000,0.0001,5.4717,0.0003,200,489.6867,1082
5.5542,0.0052,0.0000,0.0001,5.5483,0.0005,200,495.1626,1080
5.5616,0.0058,0.0000,0.0003,5.5549,0.0005,200,500.7168,1103
5.5339,0.0036,0.0000,0.0001,5.5295,0.0003,200,506.2784,1102
5.8008,0.0038,0.0000,0.0003,5.7963,0.0004,200,511.8123,1083
5.3046,0.0036,0.0000,0.0002,5.3002,0.0005,200,517.6131,1084
5.4102,0.0041,0.0000,0.0001,5.4056,0.0003,200,522.9177,1099
5.7869,0.0041,0.0000,0.0003,5.7817,0.0007,200,528.3279,1098
5.3953,0.0037,0.0000,0.0001,5.3910,0.0003,200,534.1149,1081
5.2076,0.0039,0.0000,0.0001,5.2029,0.0003,200,539.5102,1080
5.3248,0.0042,0.0000,0.0001,5.3201,0.0004,200,544.7178,1100
6.5587,0.0034,0.0000,0.0002,6.5546,0.0004,200,670.0434,1086
6.3173,0.0036,0.0000,0.0001,6.3132,0.0003,200,796.6033,1122
6.1516,0.0050,0.0000,0.0001,6.1459,0.0005,200,802.9206,981
6.4016,0.0043,0.0000,0.0001,6.3968,0.0003,200,809.0722,1103
6.0122,0.0034,0.0000,0.0001,6.0083,0.0004,200,815.4738,1103
5.8254,0.0047,0.0000,0.0003,5.8200,0.0003,200,821.4860,1104
5.9352,0.0038,0.0000,0.0001,5.9309,0.0004,200,827.3114,1110
6.5995,0.0094,0.0000,0.0001,6.5896,0.0003,200,833.2466,1105
5.3133,0.0044,0.0000,0.0001,5.3080,0.0004,200,839.8461,1108
5.6583,0.0040,0.0000,0.0003,5.6533,0.0004,200,845.1594,1101
5.4537,0.0038,0.0000,0.0003,5.4489,0.0005,200,850.8177,1122
5.9605,0.0040,0.0000,0.0004,5.9556,0.0004,200,856.2714,1119
6.5311,0.0035,0.0000,0.0002,6.5269,0.0004,200,862.2319,1105
5.5247,0.0039,0.0000,0.0001,5.5203,0.0004,200,868.7630,1103
5.6536,0.0036,0.0000,0.0001,5.6495,0.0004,200,874.2877,1102
5.9318,0.0061,0.0000,0.0001,5.9252,0.0003,200,879.9413,1105
5.4980,0.0036,0.0000,0.0001,5.4938,0.0004,200,885.8731,1102
5.7359,0.0038,0.0000,0.0001,5.7317,0.0003,200,891.3711,1098
5.4009,0.0036,0.0000,0.0004,5.3964,0.0005,200,897.1071,1098
5.4468,0.0048,0.0000,0.0002,5.4407,0.0010,200,902.5080,1100
5.4904,0.0036,0.0000,0.0002,5.4860,0.0004,200,907.9548,1098
5.7253,0.0038,0.0000,0.0002,5.7203,0.0007,200,913.4452,1100
5.5529,0.0050,0.0000,0.0002,5.5466,0.0008,200,919.1705,1100
