response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset,size
6.9522,0.0043,0.0000,0.0011,6.9459,0.0006,200,0.6167,1123
5.8552,0.0039,0.0000,0.0001,5.8507,0.0004,200,7.5689,1126
6.5145,0.0055,0.0000,0.0003,6.5084,0.0003,200,13.4242,1102
5.5688,0.0036,0.0000,0.0001,5.5645,0.0003,200,19.9387,1101
5.3953,0.0035,0.0000,0.0001,5.3912,0.0005,200,25.5075,1065
5.5443,0.0044,0.0000,0.0001,5.5395,0.0003,200,30.9029,1064
5.3638,0.0041,0.0000,0.0001,5.3590,0.0004,200,36.4472,1097
5.4134,0.0041,0.0000,0.0003,5.4081,0.0007,200,41.8110,1081
5.8883,0.0041,0.0000,0.0005,5.8831,0.0006,200,47.2244,1085
5.7351,0.0059,0.0000,0.0001,5.7286,0.0004,200,53.1128,1102
5.4954,0.0042,0.0000,0.0003,5.4902,0.0006,200,58.8478,1124
5.6170,0.0043,0.0000,0.0001,5.6122,0.0003,200,64.3432,1126
6.2406,0.0032,0.0000,0.0001,6.2370,0.0003,200,69.9602,1124
5.6591,0.0034,0.0000,0.0003,5.6549,0.0004,200,76.2008,1081
5.7593,0.0048,0.0000,0.0002,5.7538,0.0005,200,81.8600,945
5.3633,0.0047,0.0000,0.0001,5.3579,0.0004,200,87.6193,927
5.5784,0.0040,0.0000,0.0001,5.5737,0.0003,200,92.9826,1101
5.7300,0.0033,0.0000,0.0001,5.7262,0.0004,200,98.5610,1085
5.5746,0.0036,0.0000,0.0003,5.5694,0.0011,200,104.2911,961
5.7714,0.0047,0.0000,0.0001,5.7662,0.0003,200,109.8656,967
5.6725,0.0040,0.0000,0.0001,5.6680,0.0003,200,115.6371,969
5.3080,0.0039,0.0000,0.0003,5.3033,0.0004,200,121.3096,967
5.5219,0.0038,0.0000,0.0001,5.5176,0.0003,200,126.6176,985
6.0985,0.0037,0.0000,0.0002,6.0938,0.0005,200,132.1395,964
5.8867,0.0038,0.0000,0.0002,5.8822,0.0004,200,138.2380,1096
5.7859,0.0036,0.0000,0.0001,5.7815,0.0006,200,144.1246,1081
5.7600,0.0040,0.0000,0.0001,5.7555,0.0004,200,149.9105,947
5.8967,0.0038,0.0000,0.0005,5.8921,0.0003,200,155.6706,946
5.8794,0.0036,0.0000,0.0001,5.8752,0.0004,200,161.5673,987
5.9731,0.0038,0.0000,0.0001,5.9685,0.0003,200,167.4466,1121
5.9409,0.0046,0.0000,0.0001,5.9356,0.0005,200,173.4198,1082
5.6614,0.0055,0.0000,0.0004,5.6545,0.0007,200,179.3607,1081
6.1139,0.0048,0.0000,0.0001,6.1085,0.0005,200,185.0221,1063
5.6859,0.0032,0.0000,0.0001,5.6821,0.0003,200,191.1361,1082
6.0052,0.0038,0.0000,0.0003,6.0007,0.0003,200,196.8219,944
6.6489,0.0066,0.0000,0.0001,6.6418,0.0003,200,202.8271,986
5.5000,0.0036,0.0000,0.0001,5.4959,0.0003,200,209.4761,967
6.0159,0.0067,0.0000,0.0001,6.0086,0.0004,200,214.9761,924
5.5652,0.0035,0.0000,0.0001,5.5612,0.0004,200,220.9920,959
5.5221,0.0033,0.0000,0.0003,5.5181,0.0003,200,226.5572,927
5.4951,0.0034,0.0000,0.0003,5.4908,0.0005,200,232.0793,966
5.3420,0.0095,0.0000,0.0001,5.3319,0.0004,200,237.5743,946
5.3380,0.0038,0.0000,0.0002,5.3334,0.0005,200,242.9163,964
5.7094,0.0066,0.0000,0.0001,5.7022,0.0003,200,248.2543,968
5.6263,0.0052,0.0000,0.0003,5.6203,0.0004,200,253.9637,967
5.6726,0.0054,0.0000,0.0001,5.6667,0.0003,200,259.5900,947
5.7111,0.0035,0.0000,0.0001,5.7072,0.0003,200,265.2627,967
5.9573,0.0038,0.0000,0.0003,5.9528,0.0004,200,270.9738,947
5.7133,0.0044,0.0000,0.0003,5.7081,0.0004,200,276.9311,943
5.8967,0.0036,0.0000,0.0001,5.8925,0.0004,200,282.6444,929
5.8521,0.0052,0.0000,0.0001,5.8464,0.0003,200,288.5411,965
5.5817,0.0224,0.0000,0.0003,5.5586,0.0003,200,294.3932,945
5.3351,0.0063,0.0000,0.0001,5.3280,0.0006,200,299.9749,947
5.6003,0.0043,0.0000,0.0001,5.5953,0.0005,200,305.3101,1100
6.2057,0.0036,0.0000,0.0001,6.2016,0.0004,200,550.9123,1101
7.1862,0.0043,0.0000,0.0002,7.1812,0.0005,200,557.1180,1119
6.0518,0.0043,0.0000,0.0001,6.0470,0.0003,200,564.3043,1122
6.6955,0.0032,0.0000,0.0001,6.6915,0.0004,200,570.3561,1123
6.1783,0.0042,0.0000,0.0003,6.1733,0.0003,200,577.0515,1078
6.1753,0.0048,0.0000,0.0003,6.1697,0.0004,200,583.2299,1100
6.2960,0.0129,0.0000,0.0001,6.2821,0.0006,200,589.4052,1087
5.8483,0.0039,0.0000,0.0001,5.8428,0.0014,200,595.7012,963
5.7451,0.0060,0.0000,0.0002,5.7375,0.0012,200,601.5494,1089
5.4451,0.0045,0.0000,0.0002,5.4401,0.0003,200,607.2945,1105
5.6375,0.0035,0.0000,0.0001,5.6334,0.0004,200,612.7396,1108
6.4410,0.0042,0.0000,0.0001,6.4362,0.0004,200,618.3772,1106
5.6234,0.0035,0.0000,0.0001,5.6192,0.0004,200,624.8182,1084
5.5183,0.0035,0.0000,0.0001,5.5143,0.0003,200,630.4416,1107
6.4237,0.0083,0.0000,0.0001,6.4143,0.0009,200,635.9600,1087
6.0086,0.0034,0.0000,0.0001,6.0047,0.0003,200,762.3854,930
7.5982,0.0051,0.0000,0.0001,7.5924,0.0005,200,768.3941,968
5.5376,0.0039,0.0000,0.0003,5.5330,0.0003,200,775.9923,947
5.7430,0.0081,0.0000,0.0001,5.7342,0.0005,200,781.5298,963
5.6509,0.0045,0.0000,0.0001,5.6457,0.0003,200,787.2729,1111
5.7672,0.0071,0.0000,0.0001,5.7597,0.0003,200,792.9238,1085
7.2292,0.0040,0.0000,0.0001,7.2245,0.0005,200,798.6910,1123
6.3601,0.0194,0.0000,0.0001,6.3400,0.0005,200,805.9202,1085
6.5884,0.0046,0.0000,0.0003,6.5826,0.0007,200,812.2802,1108
6.3091,0.0046,0.0000,0.0001,6.3039,0.0003,200,818.8686,1104
5.8914,0.0075,0.0000,0.0003,5.8832,0.0003,200,825.1777,1104
5.7016,0.0071,0.0000,0.0001,5.6940,0.0003,200,951.0705,1119
5.4963,0.0045,0.0000,0.0001,5.4910,0.0003,200,956.7721,1123
5.6473,0.0063,0.0000,0.0001,5.6405,0.0003,200,1082.2691,983
5.6614,0.0051,0.0000,0.0004,5.6555,0.0004,200,1087.9164,983
5.7283,0.0041,0.0000,0.0004,5.7230,0.0007,200,1093.5778,980
