response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset,size
7.6588,0.0042,0.0000,0.0001,7.6445,0.0004,200,0.6101,1123
6.4374,0.0039,0.0000,0.0001,6.4327,0.0006,200,8.2690,1124
6.2420,0.0036,0.0000,0.0003,6.2377,0.0004,200,14.7064,1085
6.1390,0.0053,0.0000,0.0006,6.1322,0.0004,200,20.9484,1083
5.3878,0.0069,0.0000,0.0001,5.3802,0.0004,200,27.0874,1079
6.1882,0.0040,0.0000,0.0003,6.1835,0.0004,200,32.4751,1099
6.0956,0.0035,0.0000,0.0001,6.0914,0.0005,200,38.6634,1065
5.3781,0.0056,0.0000,0.0002,5.3719,0.0003,200,44.7590,1098
5.3632,0.0051,0.0000,0.0001,5.3575,0.0004,200,50.1371,1100
5.8137,0.0064,0.0000,0.0002,5.8065,0.0004,200,55.5003,1105
6.5788,0.0034,0.0000,0.0002,6.5745,0.0006,200,61.3140,1111
5.9102,0.0051,0.0000,0.0001,5.9045,0.0003,200,67.8929,1124
5.8250,0.0043,0.0000,0.0003,5.8197,0.0005,200,73.8030,1087
5.6251,0.0045,0.0000,0.0001,5.6200,0.0004,200,79.6280,1060
5.3007,0.0051,0.0000,0.0003,5.2944,0.0006,200,85.2531,964
6.1093,0.0032,0.0000,0.0001,6.1056,0.0003,200,90.5538,1086
6.0467,0.0048,0.0000,0.0003,6.0412,0.0003,200,96.6631,1050
5.4358,0.0036,0.0000,0.0001,5.4317,0.0003,200,102.7098,963
6.1737,0.0036,0.0000,0.0001,6.1694,0.0005,200,108.1456,966
5.5749,0.0042,0.0000,0.0001,5.5701,0.0003,200,114.3193,971
5.8108,0.0033,0.0000,0.0001,5.8066,0.0005,200,119.8941,966
5.3935,0.0065,0.0000,0.0001,5.3865,0.0003,200,125.7050,986
5.6011,0.0078,0.0000,0.0002,5.5926,0.0005,200,131.0985,944
5.9730,0.0039,0.0000,0.0002,5.9685,0.0003,200,136.6995,1079
5.8604,0.0046,0.0000,0.0002,5.8551,0.0005,200,142.6725,1080
6.0865,0.0035,0.0000,0.0001,6.0822,0.0004,200,148.5330,1079
6.0910,0.0036,0.0000,0.0001,6.0868,0.0004,200,154.6195,945
5.6293,0.0054,0.0000,0.0001,5.6233,0.0004,200,160.7105,966
5.8074,0.0042,0.0000,0.0001,5.8027,0.0003,200,166.3398,984
5.7296,0.0068,0.0000,0.0003,5.7217,0.0008,200,172.1472,1103
6.0871,0.0107,0.0000,0.0003,6.0757,0.0003,200,177.8770,1078
5.9050,0.0037,0.0000,0.0001,5.9007,0.0004,200,183.9641,1081
5.7630,0.0045,0.0000,0.0001,5.7580,0.0003,200,189.8691,1085
6.5986,0.0037,0.0000,0.0001,6.5941,0.0007,200,195.6322,944
5.8007,0.0039,0.0000,0.0001,5.7962,0.0004,200,202.2308,969
5.8695,0.0066,0.0000,0.0012,5.8614,0.0004,200,208.0315,989
6.3849,0.0061,0.0000,0.0001,6.3782,0.0003,200,213.9010,947
5.5567,0.0049,0.0000,0.0002,5.5511,0.0004,200,340.2870,948
5.6128,0.0050,0.0000,0.0001,5.6072,0.0004,200,345.8437,939
5.3744,0.0036,0.0000,0.0001,5.3700,0.0003,200,351.4565,945
5.6310,0.0049,0.0000,0.0001,5.6252,0.0005,200,356.8309,948
5.8942,0.0047,0.0000,0.0001,5.8886,0.0006,200,362.4619,967
6.0771,0.0045,0.0000,0.0003,6.0719,0.0003,200,368.3561,942
5.7511,0.0039,0.0000,0.0003,5.7466,0.0003,200,374.4331,948
5.5203,0.0040,0.0000,0.0001,5.5155,0.0004,200,380.1843,967
5.5413,0.0041,0.0000,0.0001,5.5366,0.0004,200,385.7046,970
