response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset,size
120.0008,0.0056,0.0000,0.0003,3.4661,116.5288,200,0.5965,-1
120.0025,0.0065,0.0000,0.0001,4.4727,115.5230,200,0.5959,-1
120.0015,0.0066,0.0000,0.0001,1.4427,118.5521,200,120.5973,-1
120.0011,0.0092,0.0000,0.0001,0.6981,119.2937,200,120.5985,-1
120.0018,0.0058,0.0000,0.0001,2.7331,117.2626,200,240.5988,-1
120.0019,0.0056,0.0000,0.0001,0.7458,119.2504,200,240.5996,-1
120.0010,0.0102,0.0000,0.0003,3.4773,116.5117,200,360.6007,-1
120.0008,0.0058,0.0000,0.0002,1.4797,118.5150,200,360.6015,-1
120.0006,0.0049,0.0000,0.0001,3.4324,116.5631,200,480.6017,-1
120.0009,0.0050,0.0000,0.0001,0.4489,119.5469,200,480.6023,-1
120.0008,0.0045,0.0000,0.0001,0.4877,119.5084,200,600.6023,-1
120.0006,0.0061,0.0000,0.0001,2.4716,117.5227,200,600.6032,-1
120.0008,0.0071,0.0000,0.0001,1.3866,118.6069,200,720.6031,-1
120.0012,0.0043,0.0000,0.0001,0.3822,119.6144,200,720.6038,-1
120.0009,0.0044,0.0000,0.0001,3.4359,116.5604,200,840.6039,-1
120.0011,0.0041,0.0000,0.0001,2.4387,117.5582,200,840.6049,-1
120.0013,0.0048,0.0000,0.0001,3.4931,116.5032,200,960.6048,-1
120.0008,0.0039,0.0000,0.0001,1.4911,118.5056,200,960.6060,-1
120.0022,0.0079,0.0000,0.0001,1.4084,118.5842,200,1080.6062,-1
120.0019,0.0068,0.0000,0.0001,3.4199,116.5751,200,1080.6068,-1
120.0007,0.0033,0.0000,0.0002,3.4402,116.5570,200,1200.6088,-1
120.0017,0.0034,0.0000,0.0001,1.4339,118.5642,200,1200.6083,-1
120.0007,0.0054,0.0000,0.0001,1.4102,118.5849,200,1320.6100,-1
120.0018,0.0049,0.0000,0.0001,0.4357,119.5608,200,1320.6095,-1
120.0007,0.0060,0.0000,0.0005,0.9042,119.0900,200,1440.6106,-1
120.0007,0.0050,0.0000,0.0001,2.9086,117.0870,200,1440.6113,-1
120.0018,0.0113,0.0000,0.0002,3.4788,116.5103,200,1560.6113,-1
120.0037,0.0142,0.0000,0.0001,1.5037,118.4854,200,1560.6120,-1
120.0014,0.0052,0.0000,0.0001,1.4053,118.5906,200,1680.6132,-1
120.0003,0.0085,0.0000,0.0001,0.4016,119.5901,200,1680.6157,-1
