response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
30.0012,0.0623,0.0000,0.0000,13.4662,16.4715,200,0.4363
30.0013,0.0608,0.0000,0.0001,6.4559,23.4834,200,0.4363
30.0014,0.0625,0.0000,0.0000,15.4654,14.4722,200,0.4363
30.0014,0.0630,0.0000,0.0000,19.4734,10.4637,200,0.4363
30.0015,0.0618,0.0000,0.0000,0.5215,29.4169,200,0.4363
30.0015,0.0609,0.0000,0.0000,3.4499,26.4895,200,0.4363
30.0015,0.0626,0.0000,0.0000,12.4658,17.4718,200,0.4363
30.0016,0.0623,0.0000,0.0000,10.4607,19.4772,200,0.4363
30.0016,0.0636,0.0000,0.0000,18.4691,11.4674,200,0.4363
30.0026,0.0627,0.0000,0.0001,17.4638,12.4735,200,0.4363
30.0002,0.0647,0.0000,0.0000,28.8345,1.1009,200,30.4376
30.0002,0.0670,0.0000,0.0000,17.9235,12.0097,200,30.4377
30.0001,0.0677,0.0000,0.0000,4.8006,25.1318,200,30.4379
30.0003,0.0650,0.0000,0.0000,2.8001,27.1352,200,30.4377
30.0001,0.0673,0.0000,0.0000,19.8211,10.1116,200,30.4379
30.0002,0.0680,0.0000,0.0001,6.8038,23.1284,200,30.4379
30.0002,0.0643,0.0000,0.0000,3.8004,26.1355,200,30.4379
30.0004,0.0682,0.0000,0.0001,24.8290,5.1031,200,30.4377
30.0003,0.0676,0.0000,0.0000,23.8236,6.1091,200,30.4379
30.0001,0.0675,0.0000,0.0000,21.8289,8.1037,200,30.4390
30.0005,0.0551,0.0000,0.0002,1.8486,28.0967,200,60.4379
30.0003,0.0590,0.0000,0.0001,12.8533,17.0880,200,60.4381
30.0005,0.0565,0.0000,0.0001,10.8567,19.0872,200,60.4380
30.0005,0.0590,0.0000,0.0000,8.8521,21.0893,200,60.4380
30.0004,0.0567,0.0000,0.0000,11.8587,18.0850,200,60.4381
30.0004,0.0589,0.0000,0.0000,13.8597,16.0818,200,60.4381
30.0008,0.0582,0.0000,0.0000,19.8673,10.0753,200,60.4377
30.0005,0.0594,0.0000,0.0000,0.8426,29.0985,200,60.4380
30.0006,0.0557,0.0000,0.0000,7.8542,22.0907,200,60.4380
30.0001,0.0585,0.0000,0.0000,15.8616,14.0800,200,60.4391
30.0001,0.0541,0.0000,0.0001,27.9984,1.9475,200,90.4384
30.0002,0.0575,0.0000,0.0000,17.8449,12.0977,200,90.4384
30.0002,0.0603,0.0000,0.0000,16.8361,13.1037,200,90.4386
30.0002,0.0582,0.0000,0.0000,22.9847,6.9572,200,90.4386
30.0003,0.0576,0.0000,0.0000,6.5849,23.3577,200,90.4386
30.0004,0.0571,0.0000,0.0000,21.9816,7.9616,200,90.4385
30.0004,0.0578,0.0000,0.0000,8.5879,21.3546,200,90.4385
30.0005,0.0607,0.0000,0.0001,24.9844,4.9554,200,90.4385
30.0004,0.0593,0.0000,0.0000,5.5798,24.3613,200,90.4386
30.0003,0.0598,0.0000,0.0000,23.9876,5.9528,200,90.4392
30.0003,0.0679,0.0000,0.0000,14.5409,15.3914,200,120.4388
30.0005,0.0581,0.0000,0.0001,4.5426,25.3997,200,120.4386
30.0002,0.0616,0.0000,0.0000,2.5336,27.4050,200,120.4389
30.0004,0.0676,0.0000,0.0001,13.5379,16.3948,200,120.4388
30.0003,0.0637,0.0000,0.0000,9.5391,20.3975,200,120.4390
30.0006,0.0663,0.0000,0.0000,11.5427,18.3915,200,120.4388
30.0005,0.0635,0.0000,0.0000,8.5386,21.3983,200,120.4389
30.0007,0.0622,0.0000,0.0000,6.5411,23.3974,200,120.4386
30.0005,0.0695,0.0000,0.0000,17.5454,12.3856,200,120.4390
30.0004,0.0699,0.0000,0.0000,19.5429,10.3875,200,120.4395
30.0003,0.0582,0.0000,0.0000,24.6244,5.3177,200,150.4391
30.0001,0.0572,0.0000,0.0000,0.4300,29.5129,200,150.4394
30.0002,0.0582,0.0000,0.0000,3.4346,26.5073,200,150.4393
30.0002,0.0573,0.0000,0.0000,25.6272,4.3156,200,150.4393
30.0005,0.0554,0.0000,0.0001,6.4463,23.4987,200,150.4391
30.0003,0.0581,0.0000,0.0000,26.6285,3.3136,200,150.4393
30.0005,0.0553,0.0000,0.0001,18.9911,10.9539,200,150.4392
30.0007,0.0555,0.0000,0.0000,8.4482,21.4969,200,150.4391
30.0004,0.0583,0.0000,0.0000,23.6203,6.3218,200,150.4395
30.0001,0.0590,0.0000,0.0000,9.4436,20.4974,200,150.4399
