response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset,size
120.0005,0.0501,0.0000,0.0000,3.4630,116.4870,200,0.5121,-1
120.0015,0.0494,0.0000,0.0000,1.4598,118.4913,200,0.5120,-1
120.0002,0.0474,0.0000,0.0000,2.4183,117.5343,200,120.5126,-1
120.0002,0.0473,0.0000,0.0000,3.4603,116.4925,200,120.5135,-1
120.0001,0.0486,0.0000,0.0001,0.5265,119.4250,200,240.5128,-1
120.0002,0.0478,0.0000,0.0000,2.5186,117.4337,200,240.5137,-1
120.0004,0.0491,0.0000,0.0005,1.4662,118.4846,200,360.5129,-1
120.0003,0.0486,0.0000,0.0001,0.4753,119.4763,200,360.5138,-1
120.0004,0.0478,0.0000,0.0001,0.4519,119.5007,200,480.5133,-1
120.0004,0.0484,0.0000,0.0000,1.4386,118.5133,200,480.5142,-1
120.0004,0.0474,0.0000,0.0000,2.5472,117.4058,200,600.5137,-1
120.0003,0.0468,0.0000,0.0000,1.5486,118.4048,200,600.5146,-1
120.0003,0.0470,0.0000,0.0000,2.5063,117.4468,200,720.5142,-1
120.0001,0.0474,0.0000,0.0000,0.5218,119.4308,200,720.5149,-1
120.0003,0.0635,0.0000,0.0000,1.4908,118.4460,200,840.5144,-1
120.0002,0.0634,0.0000,0.0000,2.4890,117.4478,200,840.5150,-1
120.0004,0.0483,0.0000,0.0000,0.5654,119.3867,200,960.5148,-1
120.0001,0.0474,0.0000,0.0001,3.5779,116.3747,200,960.5153,-1
120.0003,0.0487,0.0000,0.0000,1.4474,118.5042,200,1080.5152,-1
120.0003,0.0482,0.0000,0.0001,0.4697,119.4823,200,1080.5154,-1
120.0004,0.0482,0.0000,0.0001,3.5123,116.4398,200,1200.5155,-1
120.0003,0.0481,0.0000,0.0001,0.5084,119.4438,200,1200.5157,-1
120.0004,0.0477,0.0000,0.0001,1.4449,118.5078,200,1320.5159,-1
120.0004,0.0476,0.0000,0.0000,2.4444,117.5083,200,1320.5160,-1
120.0003,0.0510,0.0000,0.0000,1.4314,118.5179,200,1440.5164,-1
120.0004,0.0511,0.0000,0.0000,2.4326,117.5167,200,1440.5163,-1
120.0004,0.0480,0.0000,0.0000,1.4631,118.4893,200,1560.5167,-1
120.0006,0.0479,0.0000,0.0001,3.5213,116.4313,200,1560.5167,-1
120.0002,0.0476,0.0000,0.0001,2.6050,117.3476,200,1680.5171,-1
120.0002,0.0476,0.0000,0.0000,1.4969,118.4557,200,1680.5173,-1
