response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
5.4632,0.0676,0.0000,0.0000,5.3955,0.0001,403,30.4380
5.4665,0.0670,0.0000,0.0000,5.3993,0.0001,403,30.4387
5.4844,0.0678,0.0000,0.0000,5.4166,0.0001,403,30.4381
5.4865,0.0674,0.0000,0.0000,5.4190,0.0001,403,30.4381
9.8836,0.0674,0.0000,0.0000,9.8161,0.0001,403,30.4387
9.9770,0.0582,0.0000,0.0001,9.9186,0.0001,403,30.4374
5.1201,0.0466,0.0000,0.0000,5.0734,0.0001,403,35.9052
12.6073,0.0675,0.0000,0.0000,12.5396,0.0001,403,30.4384
7.1617,0.0475,0.0000,0.0001,7.1140,0.0001,403,35.9225
10.8403,0.0467,0.0000,0.0001,10.7934,0.0001,403,35.9246
6.5834,0.0475,0.0000,0.0001,6.5357,0.0001,403,40.4144
5.1301,0.0476,0.0000,0.0000,5.0824,0.0001,403,106.9987
13.0709,0.0578,0.0000,0.0000,13.0129,0.0001,403,150.4392
10.7696,0.0477,0.0000,0.0001,10.7217,0.0001,403,163.0858
5.1251,0.0472,0.0000,0.0001,5.0777,0.0001,403,215.9033
5.2494,0.0530,0.0000,0.0000,5.1963,0.0001,403,540.4451
