response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
30.0010,0.0612,0.0000,0.0000,8.4554,21.4836,200,0.3914
30.0011,0.0604,0.0000,0.0000,5.4525,24.4873,200,0.3914
30.0013,0.0610,0.0000,0.0001,9.4518,20.4870,200,0.3914
30.0014,0.0607,0.0000,0.0000,2.4438,27.4960,200,0.3914
30.0014,0.0609,0.0000,0.0000,4.4505,25.4889,200,0.3914
30.0014,0.0605,0.0000,0.0001,3.4506,26.4894,200,0.3914
30.0017,0.0616,0.0000,0.0000,19.4669,10.4722,200,0.3914
30.0018,0.0610,0.0000,0.0000,11.4530,18.4868,200,0.3914
30.0019,0.0613,0.0000,0.0000,16.4649,13.4741,200,0.3914
30.0020,0.0608,0.0000,0.0000,12.4596,17.4798,200,0.3914
30.0004,0.0599,0.0000,0.0000,1.8145,28.1260,200,30.3926
30.0002,0.0626,0.0000,0.0000,17.8207,12.1168,200,30.3927
30.0007,0.0552,0.0000,0.0001,1.0470,28.8984,200,30.3924
30.0004,0.0604,0.0000,0.0000,10.8166,19.1233,200,30.3927
30.0004,0.0610,0.0000,0.0000,4.8102,25.1292,200,30.3928
30.0001,0.0626,0.0000,0.0000,9.8132,20.1243,200,30.3932
30.0006,0.0604,0.0000,0.0000,7.8150,22.1251,200,30.3928
30.0003,0.0610,0.0000,0.0000,2.8056,27.1337,200,30.3931
30.0004,0.0625,0.0000,0.0000,14.8194,15.1185,200,30.3934
30.0007,0.0622,0.0000,0.0000,5.8069,24.1315,200,30.3934
30.0002,0.0618,0.0000,0.0000,14.7564,15.1820,200,60.3931
30.0004,0.0626,0.0000,0.0000,1.7373,28.2004,200,60.3930
30.0002,0.0619,0.0000,0.0000,13.7538,16.1845,200,60.3932
30.0006,0.0626,0.0000,0.0001,2.7375,27.2004,200,60.3930
30.0002,0.0619,0.0000,0.0000,10.7465,19.1917,200,60.3934
30.0004,0.0606,0.0000,0.0000,11.7541,18.1857,200,60.3933
30.0005,0.0622,0.0000,0.0000,1.0731,28.8652,200,60.3934
