response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset,size
0.0369,0.0077,0.0000,0.0009,0.0274,0.0007,404,0.4385,159
0.0425,0.0086,0.0000,0.0002,0.0321,0.0002,404,0.4383,159
0.0168,0.0083,0.0000,0.0005,0.0072,0.0007,404,0.4754,159
0.0176,0.0076,0.0000,0.0001,0.0093,0.0003,404,0.4809,159
0.0117,0.0037,0.0000,0.0001,0.0075,0.0003,404,0.4922,159
0.0174,0.0040,0.0000,0.0001,0.0125,0.0008,404,0.4984,159
0.0148,0.0037,0.0000,0.0001,0.0097,0.0012,404,0.5039,159
0.0159,0.0044,0.0000,0.0001,0.0108,0.0006,404,0.5187,159
0.0243,0.0055,0.0000,0.0002,0.0182,0.0003,404,0.5158,159
0.0136,0.0044,0.0000,0.0001,0.0087,0.0003,404,0.5401,159
0.0202,0.0102,0.0000,0.0002,0.0095,0.0003,404,0.5347,159
0.0176,0.0081,0.0000,0.0001,0.0088,0.0006,404,0.5549,159
0.0196,0.0090,0.0000,0.0001,0.0102,0.0002,404,0.5537,159
0.0171,0.0030,0.0000,0.0001,0.0134,0.0005,404,0.5725,159
0.0174,0.0032,0.0000,0.0001,0.0138,0.0003,404,0.5732,159
0.0147,0.0039,0.0000,0.0001,0.0104,0.0003,404,0.5896,159
0.0188,0.0044,0.0000,0.0001,0.0129,0.0014,404,0.5906,159
0.0128,0.0047,0.0000,0.0001,0.0074,0.0006,404,0.6043,159
0.0144,0.0063,0.0000,0.0001,0.0074,0.0005,404,0.6094,159
0.0151,0.0072,0.0000,0.0001,0.0074,0.0004,404,0.6172,159
0.0190,0.0102,0.0000,0.0001,0.0084,0.0003,404,0.6238,159
0.0147,0.0031,0.0000,0.0001,0.0095,0.0017,404,0.6322,159
0.0149,0.0046,0.0000,0.0001,0.0099,0.0002,404,0.6428,159
0.0156,0.0053,0.0000,0.0001,0.0098,0.0003,404,0.6469,159
0.0159,0.0058,0.0000,0.0001,0.0090,0.0010,404,0.6578,159
0.0165,0.0064,0.0000,0.0001,0.0097,0.0003,404,0.6625,159
0.0140,0.0042,0.0000,0.0001,0.0088,0.0009,404,0.6737,159
0.0142,0.0032,0.0000,0.0001,0.0106,0.0003,404,0.6790,159
0.0128,0.0049,0.0000,0.0001,0.0074,0.0004,404,0.6877,159
0.0117,0.0035,0.0000,0.0001,0.0074,0.0003,404,0.6933,159
0.0194,0.0084,0.0000,0.0001,0.0105,0.0002,404,0.7006,159
0.0162,0.0032,0.0000,0.0001,0.0126,0.0003,404,0.7050,159
0.0166,0.0059,0.0000,0.0001,0.0103,0.0003,404,0.7212,159
0.0199,0.0080,0.0000,0.0001,0.0113,0.0005,404,0.7200,159
0.0187,0.0065,0.0000,0.0003,0.0110,0.0009,404,0.7378,159
0.0188,0.0071,0.0000,0.0001,0.0107,0.0003,404,0.7398,159
0.0147,0.0043,0.0000,0.0001,0.0099,0.0003,404,0.7587,159
0.0191,0.0050,0.0000,0.0001,0.0096,0.0044,404,0.7565,159
0.0150,0.0064,0.0000,0.0002,0.0072,0.0010,404,0.7733,159
0.0158,0.0051,0.0000,0.0001,0.0102,0.0004,404,0.7757,159
0.0156,0.0073,0.0000,0.0001,0.0073,0.0003,404,0.7883,159
0.0149,0.0051,0.0000,0.0001,0.0086,0.0010,404,0.7915,159
0.0153,0.0041,0.0000,0.0001,0.0108,0.0003,404,0.8039,159
0.0170,0.0038,0.0000,0.0003,0.0112,0.0005,404,0.8064,159
0.0136,0.0045,0.0000,0.0001,0.0085,0.0004,404,0.8193,159
0.0166,0.0043,0.0000,0.0001,0.0120,0.0002,404,0.8234,159
0.0216,0.0081,0.0000,0.0002,0.0129,0.0004,404,0.8328,159
0.0204,0.0068,0.0000,0.0002,0.0130,0.0003,404,0.8400,159
0.0204,0.0110,0.0000,0.0001,0.0087,0.0003,404,0.8545,159
0.0191,0.0071,0.0000,0.0001,0.0110,0.0009,404,0.8604,159
0.0136,0.0052,0.0000,0.0001,0.0077,0.0004,404,0.8749,159
0.0149,0.0038,0.0000,0.0001,0.0103,0.0004,404,0.8795,159
0.0126,0.0038,0.0000,0.0003,0.0082,0.0003,404,0.8885,159
0.0181,0.0071,0.0000,0.0001,0.0096,0.0011,404,0.8944,159
0.0132,0.0030,0.0000,0.0003,0.0094,0.0004,404,0.9011,159
0.0117,0.0030,0.0000,0.0002,0.0081,0.0003,404,0.9144,159
0.0154,0.0053,0.0000,0.0002,0.0093,0.0005,404,0.9125,159
0.0166,0.0054,0.0000,0.0001,0.0097,0.0013,404,0.9260,159
0.0168,0.0032,0.0000,0.0001,0.0118,0.0017,404,0.9280,159
0.0120,0.0043,0.0000,0.0001,0.0073,0.0003,404,0.9427,159
0.0125,0.0055,0.0000,0.0001,0.0064,0.0003,404,0.9449,159
0.0142,0.0049,0.0000,0.0001,0.0090,0.0002,404,0.9546,159
0.0145,0.0034,0.0000,0.0001,0.0104,0.0004,404,0.9574,159
0.0117,0.0044,0.0000,0.0001,0.0069,0.0003,404,0.9688,159
0.0127,0.0052,0.0000,0.0001,0.0068,0.0005,404,0.9719,159
0.0133,0.0052,0.0000,0.0001,0.0075,0.0005,404,0.9805,159
0.0156,0.0047,0.0000,0.0001,0.0103,0.0005,404,0.9846,159
0.0131,0.0052,0.0000,0.0004,0.0064,0.0010,404,0.9938,159
0.0200,0.0040,0.0000,0.0002,0.0143,0.0014,404,1.0002,159
0.0249,0.0139,0.0000,0.0001,0.0104,0.0005,404,1.0069,159
0.0156,0.0059,0.0000,0.0002,0.0089,0.0003,404,1.0202,159
0.0139,0.0057,0.0000,0.0001,0.0071,0.0009,404,1.0318,159
0.0162,0.0067,0.0000,0.0001,0.0089,0.0004,404,1.0358,159
0.0160,0.0054,0.0000,0.0001,0.0098,0.0007,404,1.0457,159
0.0147,0.0046,0.0000,0.0001,0.0098,0.0002,404,1.0520,159
0.0126,0.0060,0.0000,0.0005,0.0056,0.0005,404,1.0617,159
0.0125,0.0043,0.0000,0.0001,0.0077,0.0003,404,1.0667,159
0.0106,0.0035,0.0000,0.0001,0.0064,0.0003,404,1.0743,159
0.0134,0.0043,0.0000,0.0001,0.0084,0.0005,404,1.0792,159
0.0141,0.0036,0.0000,0.0001,0.0101,0.0002,404,1.0850,159
0.0168,0.0043,0.0000,0.0026,0.0093,0.0005,404,1.0926,159
0.0145,0.0031,0.0000,0.0001,0.0110,0.0002,404,1.0990,159
0.0141,0.0049,0.0000,0.0001,0.0085,0.0003,404,1.1094,159
