response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
5.5565,0.0676,0.0000,0.0000,5.4887,0.0001,403,30.4395
5.6033,0.0674,0.0000,0.0001,5.5356,0.0001,403,30.4396
12.5878,0.0674,0.0000,0.0000,12.5203,0.0001,403,30.4394
7.0449,0.0475,0.0000,0.0001,6.9972,0.0001,403,36.0429
16.6542,0.0669,0.0000,0.0000,16.5871,0.0001,403,30.4395
5.2966,0.0596,0.0000,0.0000,5.2367,0.0001,403,90.4399
5.1236,0.0488,0.0000,0.0001,5.0746,0.0001,403,95.7365
5.1192,0.0482,0.0000,0.0001,5.0708,0.0001,403,100.8601
15.8608,0.0592,0.0000,0.0000,15.8013,0.0001,403,90.4399
5.1195,0.0479,0.0000,0.0001,5.0714,0.0001,403,107.0942
9.6270,0.0587,0.0000,0.0000,9.5681,0.0001,403,150.4403
9.8070,0.0574,0.0000,0.0000,9.7495,0.0001,403,150.4403
5.1246,0.0479,0.0000,0.0000,5.0765,0.0001,403,160.2473
10.2135,0.0470,0.0000,0.0001,10.1663,0.0001,403,223.0296
5.1260,0.0484,0.0000,0.0001,5.0774,0.0001,403,275.9993
5.1277,0.0478,0.0000,0.0001,5.0798,0.0001,403,285.9819
8.4051,0.0478,0.0000,0.0001,8.3571,0.0002,403,285.3736
11.0806,0.0492,0.0000,0.0000,11.0313,0.0001,403,283.0908
5.1273,0.0473,0.0000,0.0001,5.0799,0.0001,403,293.2442
9.4472,0.0471,0.0000,0.0001,9.3998,0.0002,403,594.1760
14.5190,0.0477,0.0000,0.0000,14.4711,0.0001,403,591.1147
8.6506,0.0486,0.0000,0.0001,8.6018,0.0001,403,598.3767
5.1329,0.0496,0.0000,0.0001,5.0831,0.0001,403,665.6343
