response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
30.0004,0.0607,0.0000,0.0000,2.4476,27.4919,200,0.4368
30.0002,0.0571,0.0000,0.0000,4.4577,25.4852,200,0.4371
30.0003,0.0618,0.0000,0.0000,16.4695,13.4690,200,0.4372
30.0003,0.0616,0.0000,0.0000,11.4657,18.4730,200,0.4373
30.0003,0.0614,0.0000,0.0000,7.4566,22.4822,200,0.4373
30.0005,0.0609,0.0000,0.0001,8.4602,21.4793,200,0.4372
30.0005,0.0611,0.0000,0.0000,5.4542,24.4851,200,0.4372
30.0004,0.0616,0.0000,0.0000,14.4679,15.4708,200,0.4374
30.0004,0.0570,0.0000,0.0000,1.4488,28.4946,200,0.4373
30.0005,0.0617,0.0000,0.0001,9.4645,20.4743,200,0.4373
30.0005,0.0583,0.0000,0.0000,1.0632,28.8788,200,30.4373
30.0004,0.0619,0.0000,0.0000,1.8038,28.1346,200,30.4373
30.0003,0.0666,0.0000,0.0000,27.8323,2.1013,200,30.4376
30.0001,0.0649,0.0000,0.0000,5.8026,24.1326,200,30.4377
30.0001,0.0653,0.0000,0.0000,16.5502,13.3846,200,30.4378
30.0002,0.0617,0.0000,0.0000,29.8399,0.0986,200,30.4377
30.0006,0.0654,0.0000,0.0000,20.8273,9.1079,200,30.4375
30.0005,0.0669,0.0000,0.0000,22.8243,7.1093,200,30.4376
30.0004,0.0648,0.0000,0.0000,26.8331,3.1024,200,30.4377
30.0004,0.0670,0.0000,0.0000,25.8306,4.1028,200,30.4378
30.0003,0.0561,0.0000,0.0000,9.8566,20.0875,200,60.4379
30.0004,0.0543,0.0000,0.0001,3.8554,26.0907,200,60.4377
30.0003,0.0572,0.0000,0.0000,14.8649,15.0782,200,60.4379
30.0006,0.0571,0.0000,0.0000,16.8661,13.0773,200,60.4377
30.0003,0.0567,0.0000,0.0000,5.8489,24.0946,200,60.4381
30.0003,0.0591,0.0000,0.0000,17.8664,12.0748,200,60.4381
30.0006,0.0568,0.0000,0.0000,4.8521,25.0916,200,60.4379
30.0005,0.0589,0.0000,0.0000,18.8604,11.0810,200,60.4381
30.0007,0.0576,0.0000,0.0000,2.8479,27.0952,200,60.4379
30.0006,0.0590,0.0000,0.0000,6.8500,23.0915,200,60.4382
30.0001,0.0573,0.0000,0.0000,4.5815,25.3612,200,90.4384
30.0003,0.0542,0.0000,0.0001,0.5745,29.3715,200,90.4383
30.0005,0.0544,0.0000,0.0001,1.5789,28.3671,200,90.4382
30.0005,0.0571,0.0000,0.0000,3.5831,26.3603,200,90.4382
30.0007,0.0576,0.0000,0.0000,15.8342,14.1088,200,90.4382
30.0005,0.0541,0.0000,0.0001,2.5813,27.3650,200,90.4385
30.0002,0.0600,0.0000,0.0001,7.5833,22.3569,200,90.4388
30.0005,0.0605,0.0000,0.0000,25.9888,3.9512,200,90.4385
30.0005,0.0601,0.0000,0.0000,26.9900,2.9502,200,90.4386
30.0002,0.0693,0.0000,0.0000,18.5469,11.3839,200,120.4389
30.0004,0.0607,0.0000,0.0000,5.5404,24.3992,200,120.4387
30.0006,0.0608,0.0000,0.0001,3.5379,26.4016,200,120.4385
30.0005,0.0630,0.0000,0.0000,7.5374,22.4000,200,120.4387
30.0004,0.0660,0.0000,0.0000,12.5413,17.3930,200,120.4388
30.0004,0.0684,0.0000,0.0000,16.5444,13.3876,200,120.4389
30.0007,0.0582,0.0000,0.0000,1.5386,28.4038,200,120.4386
30.0003,0.0646,0.0000,0.0000,10.5440,19.3916,200,120.4390
30.0003,0.0681,0.0000,0.0000,15.5438,14.3884,200,120.4390
30.0006,0.0706,0.0000,0.0000,20.5457,9.3838,200,120.4391
30.0001,0.0566,0.0000,0.0000,19.9998,9.9437,200,150.4393
30.0004,0.0575,0.0000,0.0000,7.4437,22.4992,200,150.4391
30.0004,0.0559,0.0000,0.0000,17.3400,12.6045,200,150.4391
30.0003,0.0571,0.0000,0.0000,27.6270,2.3162,200,150.4392
30.0004,0.0571,0.0000,0.0000,1.4366,28.5067,200,150.4392
30.0005,0.0569,0.0000,0.0000,2.4383,27.5053,200,150.4391
30.0005,0.0568,0.0000,0.0000,5.4407,24.5029,200,150.4392
30.0004,0.0558,0.0000,0.0000,16.2120,13.7325,200,150.4393
30.0005,0.0583,0.0000,0.0000,4.4382,25.5040,200,150.4393
30.0002,0.0581,0.0000,0.0000,28.6270,1.3151,200,150.4397
30.0001,0.0536,0.0000,0.0000,1.5646,28.3819,200,180.4397
30.0002,0.0539,0.0000,0.0000,9.5728,20.3734,200,180.4396
30.0003,0.0555,0.0000,0.0000,4.5678,25.3769,200,180.4396
30.0003,0.0541,0.0000,0.0000,16.5792,13.3670,200,180.4397
30.0005,0.0541,0.0000,0.0000,17.5821,12.3643,200,180.4395
30.0005,0.0534,0.0000,0.0001,19.5847,10.3622,200,180.4395
30.0005,0.0546,0.0000,0.0000,18.5806,11.3653,200,180.4395
30.0005,0.0552,0.0000,0.0000,7.5694,22.3760,200,180.4395
30.0003,0.0534,0.0000,0.0000,0.5727,29.3742,200,180.4398
30.0002,0.0537,0.0000,0.0000,12.5780,17.3685,200,180.4399
30.0002,0.0577,0.0000,0.0000,3.5144,26.4280,200,210.4399
30.0001,0.0620,0.0000,0.0000,20.5501,9.3879,200,210.4400
30.0003,0.0606,0.0000,0.0000,6.9468,22.9928,200,210.4399
30.0004,0.0617,0.0000,0.0000,13.5401,16.3985,200,210.4400
30.0004,0.0584,0.0000,0.0000,14.5454,15.3966,200,210.4400
30.0003,0.0643,0.0000,0.0000,19.5466,10.3894,200,210.4401
30.0003,0.0585,0.0000,0.0000,15.5462,14.3956,200,210.4401
30.0004,0.0591,0.0000,0.0000,17.5504,12.3909,200,210.4400
30.0006,0.0621,0.0000,0.0000,23.9642,5.9743,200,210.4398
30.0006,0.0635,0.0000,0.0000,4.9346,25.0025,200,210.4399
30.0003,0.0546,0.0000,0.0000,0.4989,29.4467,200,240.4403
30.0002,0.0565,0.0000,0.0000,18.5226,11.4211,200,240.4404
30.0002,0.0549,0.0000,0.0000,8.5076,21.4377,200,240.4405
30.0003,0.0542,0.0000,0.0000,13.5243,16.4217,200,240.4404
30.0006,0.0536,0.0000,0.0001,17.5263,12.4207,200,240.4402
30.0004,0.0570,0.0000,0.0000,11.5080,18.4354,200,240.4404
30.0006,0.0545,0.0000,0.0000,10.5113,19.4348,200,240.4402
30.0008,0.0562,0.0000,0.0000,15.5168,14.4277,200,240.4401
30.0005,0.0573,0.0000,0.0000,6.5063,23.4369,200,240.4405
30.0005,0.0544,0.0000,0.0000,19.5265,10.4196,200,240.4404
30.0002,0.0533,0.0000,0.0000,11.7610,18.1858,200,270.4410
30.0005,0.0553,0.0000,0.0000,2.5157,27.4294,200,270.4407
30.0005,0.0552,0.0000,0.0000,5.8021,24.1431,200,270.4407
30.0004,0.0548,0.0000,0.0000,29.5631,0.3825,200,270.4409
30.0003,0.0568,0.0000,0.0000,0.5071,29.4364,200,270.4410
30.0005,0.0570,0.0000,0.0000,10.7518,19.1917,200,270.4408
30.0008,0.0535,0.0000,0.0000,14.0892,15.8579,200,270.4406
30.0006,0.0558,0.0000,0.0000,4.8006,25.1442,200,270.4408
30.0003,0.0562,0.0000,0.0000,22.5920,7.3520,200,300.4411
30.0001,0.0560,0.0000,0.0000,15.5826,14.3615,200,300.4413
30.0002,0.0553,0.0000,0.0000,26.5975,3.3473,200,300.4413
30.0003,0.0556,0.0000,0.0000,13.5796,16.3650,200,300.4411
30.0004,0.0538,0.0000,0.0000,2.5690,27.3777,200,300.4412
30.0002,0.0554,0.0000,0.0000,9.5737,20.3711,200,300.4414
30.0003,0.0550,0.0000,0.0001,17.5874,12.3578,200,300.4413
30.0003,0.0560,0.0000,0.0000,24.5959,5.3483,200,300.4414
30.0005,0.0555,0.0000,0.0000,18.5844,11.3606,200,300.4413
30.0004,0.0551,0.0000,0.0000,21.5895,8.3558,200,300.4414
30.0001,0.0536,0.0000,0.0000,4.4146,25.5319,200,330.4416
30.0005,0.0535,0.0000,0.0000,1.4121,28.5348,200,330.4414
30.0005,0.0534,0.0000,0.0000,5.4212,24.5257,200,330.4414
30.0002,0.0539,0.0000,0.0000,12.4291,17.5172,200,330.4417
30.0003,0.0550,0.0000,0.0000,16.4342,13.5111,200,330.4417
30.0013,0.0548,0.0000,0.0000,13.4346,16.5118,200,330.4415
30.0009,0.0557,0.0000,0.0000,9.4213,20.5238,200,330.4418
30.0015,0.0536,0.0000,0.0000,10.4246,19.5232,200,330.4414
30.0013,0.0559,0.0000,0.0000,0.4082,29.5371,200,330.4417
30.0014,0.0551,0.0000,0.0000,17.4376,12.5086,200,330.4416
30.0002,0.0536,0.0000,0.0000,17.5719,12.3746,200,360.4419
30.0002,0.0536,0.0000,0.0000,6.5617,23.3849,200,360.4419
30.0002,0.0543,0.0000,0.0000,18.5764,11.3694,200,360.4420
30.0005,0.0539,0.0000,0.0000,4.5587,25.3879,200,360.4418
30.0004,0.0536,0.0000,0.0001,8.5648,21.3819,200,360.4419
30.0001,0.0534,0.0000,0.0000,14.5684,15.3783,200,360.4427
30.0002,0.0534,0.0000,0.0000,5.5619,24.3850,200,360.4427
30.0000,0.0536,0.0000,0.0000,19.5772,10.3692,200,360.4430
30.0001,0.0532,0.0000,0.0000,16.5772,13.3697,200,360.4429
30.0001,0.0529,0.0000,0.0000,13.5666,16.3806,200,360.4430
30.0003,0.0537,0.0000,0.0000,5.5132,24.4334,200,390.4423
30.0003,0.0537,0.0000,0.0000,6.5169,23.4297,200,390.4423
