timestamp,date,tod,r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
1576491849,2019-12-16,11:24:09,0,0,0,1741,288,1325,0,0,1,14,13,15,1,1,98,0,0
1576491850,2019-12-16,11:24:10,1,0,0,1735,288,1325,0,0,0,180,303,414,4,1,95,0,0
1576491851,2019-12-16,11:24:11,0,0,0,1737,288,1325,0,0,0,20,291,375,5,1,94,0,0
1576491852,2019-12-16,11:24:12,0,0,0,1740,288,1325,0,0,0,20,183,335,0,1,99,0,0
1576491853,2019-12-16,11:24:13,0,0,0,1743,288,1325,0,0,0,20,167,329,0,1,99,0,0
1576491854,2019-12-16,11:24:14,0,0,0,1743,288,1325,0,0,0,20,146,306,0,0,100,0,0
1576491855,2019-12-16,11:24:15,0,0,0,1743,288,1325,0,0,0,20,164,344,0,1,99,0,0
1576491856,2019-12-16,11:24:16,1,0,0,1740,288,1325,0,0,0,104,254,387,2,1,97,0,0
1576491857,2019-12-16,11:24:17,0,0,0,1740,288,1325,0,0,0,20,176,367,1,0,99,0,0
1576491858,2019-12-16,11:24:18,0,0,0,1740,288,1325,0,0,0,20,166,326,0,1,99,0,0
1576491859,2019-12-16,11:24:19,0,0,0,1742,288,1325,0,0,0,20,183,336,0,1,99,0,0
1576491860,2019-12-16,11:24:20,1,0,0,1740,288,1325,0,0,0,156,219,365,2,1,97,0,0
1576491861,2019-12-16,11:24:21,0,0,0,1742,288,1325,0,0,0,20,316,422,5,1,94,0,0
1576491862,2019-12-16,11:24:22,0,0,0,1742,288,1325,0,0,0,20,160,313,0,1,99,0,0
1576491863,2019-12-16,11:24:23,0,0,0,1746,288,1325,0,0,0,20,509,750,6,2,92,0,0
1576491864,2019-12-16,11:24:24,0,0,0,1746,288,1325,0,0,0,20,208,457,0,1,99,0,0
1576491865,2019-12-16,11:24:25,1,0,0,1745,288,1325,0,0,0,20,419,526,5,1,94,0,0
1576491866,2019-12-16,11:24:26,2,0,0,1709,288,1326,0,0,0,104,7241,1146,43,8,50,0,0
1576491867,2019-12-16,11:24:27,2,0,0,1671,288,1326,0,0,0,28,1571,952,44,7,49,0,0
1576491868,2019-12-16,11:24:28,2,0,0,1666,288,1326,0,0,0,120,1470,914,50,1,49,0,0
1576491869,2019-12-16,11:24:29,2,0,0,1666,288,1326,0,0,0,120,1405,871,50,1,49,0,0
1576491870,2019-12-16,11:24:30,1,0,0,1736,288,1326,0,0,0,276,913,855,21,2,76,0,0
1576491871,2019-12-16,11:24:31,0,0,0,1736,288,1326,0,0,0,20,443,596,7,1,91,0,0
1576491872,2019-12-16,11:24:32,1,0,0,1735,288,1326,0,0,0,144,511,497,9,2,90,0,0
1576491873,2019-12-16,11:24:33,2,0,0,1693,288,1327,0,0,0,20,1753,1416,41,7,52,0,0
1576491874,2019-12-16,11:24:34,2,0,0,1662,288,1327,0,0,0,20,1499,1010,45,6,49,0,0
1576491875,2019-12-16,11:24:35,2,0,0,1659,288,1327,0,0,0,280,1483,924,50,1,49,0,0
1576491876,2019-12-16,11:24:36,2,0,0,1693,288,1327,0,0,0,148,1412,867,50,1,49,0,0
1576491877,2019-12-16,11:24:37,0,0,0,1729,288,1327,0,0,0,64,564,740,10,1,89,0,0
1576491878,2019-12-16,11:24:38,2,0,0,1719,288,1327,0,0,0,20,1133,917,20,3,77,0,0
1576491879,2019-12-16,11:24:39,2,0,0,1679,288,1328,0,0,0,20,2024,1087,45,7,48,0,0
1576491880,2019-12-16,11:24:40,3,0,0,1653,288,1328,0,0,0,212,1547,916,51,3,46,0,0
1576491881,2019-12-16,11:24:41,2,0,0,1656,288,1328,0,0,0,160,1550,923,54,2,44,0,0
1576491882,2019-12-16,11:24:42,1,0,0,1692,288,1328,0,0,0,164,1399,975,44,1,55,0,0
1576491883,2019-12-16,11:24:43,0,0,0,1728,288,1328,0,0,0,40,389,572,6,0,94,0,0
1576491884,2019-12-16,11:24:44,2,0,0,1697,288,1328,0,0,0,20,1541,1151,34,4,62,0,0
1576491885,2019-12-16,11:24:45,2,0,0,1657,288,1328,0,0,0,136,1509,1011,45,6,49,0,0
1576491886,2019-12-16,11:24:46,2,0,0,1649,288,1328,0,0,0,100,1476,885,50,3,48,0,0
1576491887,2019-12-16,11:24:47,2,0,0,1647,288,1329,0,0,0,144,1418,869,50,1,49,0,0
1576491888,2019-12-16,11:24:48,0,0,0,1718,288,1329,0,0,0,144,1081,977,29,2,69,0,0
1576491889,2019-12-16,11:24:49,0,0,0,1718,288,1328,0,0,0,20,225,454,1,1,99,0,0
1576491890,2019-12-16,11:24:50,1,0,0,1715,288,1328,0,0,0,188,320,522,3,1,96,0,0
1576491891,2019-12-16,11:24:51,0,0,0,1718,288,1328,0,0,0,20,339,494,4,1,94,0,0
1576491892,2019-12-16,11:24:52,1,0,0,1713,288,1329,0,0,0,20,554,620,8,2,90,0,0
1576491893,2019-12-16,11:24:53,2,0,0,1680,288,1329,0,0,0,20,1550,1101,37,7,57,0,0
1576491894,2019-12-16,11:24:54,2,0,0,1648,288,1329,0,0,0,20,1513,1020,45,6,49,0,0
1576491895,2019-12-16,11:24:55,2,0,0,1643,288,1329,0,0,0,252,1491,1014,50,1,49,0,0
1576491896,2019-12-16,11:24:56,1,0,0,1677,288,1329,0,0,0,160,1471,1002,48,2,50,0,0
1576491897,2019-12-16,11:24:57,0,0,0,1713,288,1329,0,0,0,1072,738,811,15,2,84,0,0
1576491898,2019-12-16,11:24:58,2,0,0,1700,288,1329,0,0,0,20,5844,1047,25,3,72,0,0
1576491899,2019-12-16,11:24:59,2,0,0,1661,288,1330,0,0,0,20,1532,1117,43,8,49,0,0
1576491900,2019-12-16,11:25:00,3,0,0,1639,288,1330,0,0,0,276,1510,881,51,3,46,0,0
1576491901,2019-12-16,11:25:01,3,0,0,1639,288,1330,0,0,0,160,1576,909,56,1,43,0,0
1576491902,2019-12-16,11:25:02,1,0,0,1675,288,1330,0,0,0,164,1214,909,37,1,62,0,0
1576491903,2019-12-16,11:25:03,1,0,0,1711,288,1330,0,0,0,40,359,528,5,1,94,0,0
1576491904,2019-12-16,11:25:04,2,0,0,1709,288,1330,0,0,0,12,364,504,3,1,96,0,0
1576491905,2019-12-16,11:25:05,2,0,0,1689,288,1330,0,0,0,8,1198,937,25,4,71,0,0
1576491906,2019-12-16,11:25:06,2,0,0,1652,288,1331,0,0,0,140,1593,1211,46,6,49,0,0
1576491907,2019-12-16,11:25:07,2,0,0,1636,288,1331,0,0,0,840,1474,907,48,3,49,0,0
1576491908,2019-12-16,11:25:08,2,0,0,1634,288,1331,0,0,0,180,1465,908,50,1,49,0,0
1576491909,2019-12-16,11:25:09,1,0,0,1669,288,1331,0,0,0,104,912,878,27,1,71,0,0
1576491910,2019-12-16,11:25:10,2,0,0,1682,288,1331,0,0,0,212,1347,1241,27,4,69,0,0
1576491911,2019-12-16,11:25:11,2,0,0,1666,288,1331,0,0,0,20,1334,874,28,4,68,0,0
1576491912,2019-12-16,11:25:12,2,0,0,1650,288,1331,0,0,0,740,4266,1147,47,5,48,0,0
1576491913,2019-12-16,11:25:13,2,0,0,1631,288,1331,0,0,0,76,1473,932,47,4,49,0,0
1576491914,2019-12-16,11:25:14,1,0,0,1665,288,1331,0,0,0,144,1162,975,35,1,64,0,0
1576491915,2019-12-16,11:25:15,2,0,0,1660,288,1332,0,0,0,208,1251,1068,34,3,63,0,0
1576491916,2019-12-16,11:25:16,1,0,0,1674,288,1332,0,0,0,40,1118,1005,26,5,69,0,0
1576491917,2019-12-16,11:25:17,1,0,0,1663,288,1332,0,0,0,676,892,799,27,2,72,0,0
1576491918,2019-12-16,11:25:18,2,0,0,1650,288,1332,0,0,0,100,1552,1138,41,3,56,0,0
1576491919,2019-12-16,11:25:19,1,0,0,1663,288,1332,0,0,0,104,1498,991,42,5,53,0,0
1576491920,2019-12-16,11:25:20,3,0,0,1699,288,1332,0,0,0,244,1385,1133,36,2,62,0,0
1576491921,2019-12-16,11:25:21,2,0,0,1680,288,1332,0,0,0,352,1714,1212,54,6,39,0,0
1576491922,2019-12-16,11:25:22,1,0,0,1700,288,1333,0,0,0,84,1237,903,38,2,61,0,0
1576491923,2019-12-16,11:25:23,3,0,0,1694,288,1333,0,0,0,100,1461,1120,35,2,63,0,0
1576491924,2019-12-16,11:25:24,2,0,0,1668,288,1333,0,0,0,100,1548,982,48,5,47,0,0
1576491925,2019-12-16,11:25:25,1,0,0,1696,288,1333,0,0,0,24,968,947,27,3,71,0,0
1576491926,2019-12-16,11:25:26,2,0,0,1673,288,1333,0,0,0,220,1605,1359,45,4,51,0,0
1576491927,2019-12-16,11:25:27,1,0,0,1694,288,1333,0,0,0,760,1565,1081,47,4,49,0,0
1576491928,2019-12-16,11:25:28,2,0,0,1685,288,1334,0,0,0,84,1253,966,35,2,63,0,0
1576491929,2019-12-16,11:25:29,2,0,0,1661,288,1334,0,0,0,80,1516,990,47,4,49,0,0
1576491930,2019-12-16,11:25:30,2,0,0,1684,288,1334,0,0,0,244,1216,962,36,3,62,0,0
1576491931,2019-12-16,11:25:31,1,0,0,1688,288,1334,0,0,0,96,936,698,28,2,70,0,0
1576491932,2019-12-16,11:25:32,1,0,0,1703,288,1334,0,0,0,1148,1857,1569,42,3,55,0,0
1576491933,2019-12-16,11:25:33,2,0,0,1679,288,1334,0,0,0,20,1255,1250,28,6,66,0,0
1576491934,2019-12-16,11:25:34,2,0,0,1658,288,1335,0,0,0,80,1537,996,46,5,49,0,0
1576491935,2019-12-16,11:25:35,2,0,0,1647,288,1335,0,0,0,220,1452,938,50,2,49,0,0
1576491936,2019-12-16,11:25:36,1,0,0,1681,288,1335,0,0,0,144,1174,861,35,1,64,0,0
1576491937,2019-12-16,11:25:37,1,0,0,1706,288,1335,0,0,0,796,1502,1282,37,3,60,0,0
1576491938,2019-12-16,11:25:38,2,0,0,1680,288,1335,0,0,0,20,1281,1017,30,5,65,0,0
1576491939,2019-12-16,11:25:39,2,0,0,1655,288,1335,0,0,0,60,1748,1198,47,5,48,0,0
1576491940,2019-12-16,11:25:40,4,0,0,1636,288,1335,0,0,0,252,1492,901,51,4,45,0,0
