timestamp,date,tod,r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
1576593213,2019-12-17,14:33:33,0,1,156,81,25,213,0,0,0,1,1,2,0,0,100,0,0
1576593214,2019-12-17,14:33:34,0,0,156,80,25,213,0,0,0,0,439,873,0,0,100,0,0
1576593215,2019-12-17,14:33:35,0,0,156,80,25,213,0,0,0,36,384,771,0,0,100,0,0
1576593216,2019-12-17,14:33:36,1,0,156,75,26,216,0,0,3011,48,5100,9260,9,1,88,1,0
1576593217,2019-12-17,14:33:37,1,0,156,67,26,216,0,0,408,0,20460,36844,31,4,65,0,0
1576593218,2019-12-17,14:33:38,3,0,165,79,25,212,0,9,252,9500,20999,36842,27,5,67,0,0
1576593219,2019-12-17,14:33:39,0,0,165,76,25,212,0,0,108,0,24101,42824,18,5,76,0,0
1576593220,2019-12-17,14:33:40,3,0,165,76,25,213,0,0,8,0,23651,42241,39,5,57,0,0
1576593221,2019-12-17,14:33:41,3,0,165,73,25,213,0,0,172,20,23810,46628,28,5,66,1,0
1576593222,2019-12-17,14:33:42,6,0,165,75,25,214,0,0,92,0,24226,43653,20,4,75,0,0
1576593223,2019-12-17,14:33:43,4,0,165,72,25,214,0,0,4,0,26592,45983,22,5,72,0,0
1576593224,2019-12-17,14:33:44,0,0,165,75,25,215,0,0,124,0,25561,44451,22,4,74,0,0
1576593225,2019-12-17,14:33:45,3,0,165,73,25,215,0,0,204,0,26706,46927,26,5,69,0,0
1576593226,2019-12-17,14:33:46,1,0,165,75,25,216,0,0,0,20,27357,48855,35,5,60,0,0
1576593227,2019-12-17,14:33:47,3,0,165,73,25,216,0,0,348,0,25662,44934,31,5,64,0,0
1576593228,2019-12-17,14:33:48,0,0,165,73,25,216,0,0,4,0,542,724,9,0,91,0,0
1576593229,2019-12-17,14:33:49,0,0,165,73,25,216,0,0,0,0,373,769,0,0,100,0,0
1576593230,2019-12-17,14:33:50,0,0,165,72,25,216,0,0,4,0,372,748,0,0,100,0,0
1576593231,2019-12-17,14:33:51,0,0,165,72,25,216,0,0,0,20,370,777,0,0,99,0,0
1576593232,2019-12-17,14:33:52,0,0,165,72,25,216,0,0,0,0,346,736,0,0,100,0,0
1576593233,2019-12-17,14:33:53,0,0,165,72,25,216,0,0,0,0,347,711,0,0,100,0,0
1576593234,2019-12-17,14:33:54,0,0,165,72,25,216,0,0,0,0,383,809,0,0,100,0,0
1576593235,2019-12-17,14:33:55,0,0,165,72,25,216,0,0,0,0,364,762,0,0,99,0,0
1576593236,2019-12-17,14:33:56,0,0,165,72,25,216,0,0,4,16,375,773,0,0,100,0,0
1576593237,2019-12-17,14:33:57,0,0,165,72,25,216,0,0,0,0,335,744,0,0,100,0,0
1576593238,2019-12-17,14:33:58,0,0,165,72,25,216,0,0,0,0,395,807,0,0,100,0,0
1576593239,2019-12-17,14:33:59,0,0,165,72,25,216,0,0,0,0,327,678,0,0,100,0,0
1576593240,2019-12-17,14:34:00,0,0,165,72,25,216,0,0,0,0,368,762,0,0,99,0,0
1576593241,2019-12-17,14:34:01,0,0,165,72,25,216,0,0,0,68,403,856,0,0,100,0,0
1576593242,2019-12-17,14:34:02,0,0,165,72,25,216,0,0,0,0,363,757,0,0,100,0,0
1576593243,2019-12-17,14:34:03,0,0,165,72,25,216,0,0,0,0,420,888,0,0,100,0,0
1576593244,2019-12-17,14:34:04,0,0,165,72,25,216,0,0,0,0,399,824,0,0,100,0,0
1576593245,2019-12-17,14:34:05,0,0,165,72,25,216,0,0,608,0,572,1060,0,0,100,0,0
1576593246,2019-12-17,14:34:06,0,0,165,72,25,216,0,0,0,32,365,795,0,0,99,0,0
1576593247,2019-12-17,14:34:07,0,0,165,72,25,216,0,0,0,0,361,750,0,0,100,0,0
1576593248,2019-12-17,14:34:08,0,0,165,72,25,216,0,0,0,0,355,736,0,0,100,0,0
1576593249,2019-12-17,14:34:09,0,0,165,72,25,216,0,0,0,0,370,808,0,0,100,0,0
1576593250,2019-12-17,14:34:10,0,0,165,72,25,216,0,0,0,0,371,805,0,0,100,0,0
1576593251,2019-12-17,14:34:11,0,0,165,72,25,216,0,0,0,4280,412,793,0,0,99,1,0
1576593252,2019-12-17,14:34:12,0,0,165,72,25,216,0,0,0,0,379,787,0,0,100,0,0
1576593253,2019-12-17,14:34:13,0,0,165,72,25,216,0,0,0,0,330,710,0,0,100,0,0
1576593254,2019-12-17,14:34:14,0,0,165,72,25,216,0,0,0,0,407,809,0,0,100,0,0
1576593255,2019-12-17,14:34:15,0,0,165,72,25,216,0,0,16,0,355,755,0,0,100,0,0
1576593256,2019-12-17,14:34:16,0,0,165,72,25,216,0,0,0,0,392,808,0,0,100,0,0
1576593257,2019-12-17,14:34:17,0,0,165,72,25,216,0,0,0,16,331,697,0,0,99,0,0
1576593258,2019-12-17,14:34:18,0,0,165,72,25,216,0,0,0,0,357,748,0,0,100,0,0
1576593259,2019-12-17,14:34:19,0,0,165,72,25,216,0,0,0,0,385,783,0,0,100,0,0
1576593260,2019-12-17,14:34:20,0,0,165,72,25,216,0,0,0,0,391,794,0,0,100,0,0
