timestamp,date,tod,r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
1576578810,2019-12-17,11:33:30,5,0,0,2620,365,3854,0,0,1,22,4,26,5,3,92,0,0
1576578811,2019-12-17,11:33:31,1,0,0,2620,365,3854,0,0,0,136,2520,6744,6,2,92,0,0
1576578812,2019-12-17,11:33:32,1,0,0,2620,365,3854,0,0,0,0,2391,6526,4,3,93,0,0
1576578813,2019-12-17,11:33:33,3,0,0,2620,365,3854,0,0,0,36,2999,8062,7,2,90,0,0
1576578814,2019-12-17,11:33:34,1,0,0,2620,365,3854,0,0,0,8,2955,7680,6,2,92,0,0
1576578815,2019-12-17,11:33:35,1,0,0,2620,365,3854,0,0,0,108,2317,6213,8,2,90,0,0
1576578816,2019-12-17,11:33:36,1,0,0,2620,365,3854,0,0,0,24,3652,9504,8,3,88,0,0
1576578817,2019-12-17,11:33:37,1,0,0,2620,365,3854,0,0,0,28,2634,6799,7,3,90,0,0
1576578818,2019-12-17,11:33:38,0,0,0,2620,365,3854,0,0,0,0,2874,7405,9,3,89,0,0
1576578819,2019-12-17,11:33:39,1,0,0,2620,365,3854,0,0,0,32,5850,16909,15,8,76,0,0
1576578820,2019-12-17,11:33:40,0,0,0,2620,365,3854,0,0,0,104,2832,7297,7,3,90,0,0
1576578821,2019-12-17,11:33:41,3,0,0,2620,365,3854,0,0,0,96,2744,7202,7,4,89,0,0
1576578822,2019-12-17,11:33:42,0,0,0,2619,365,3854,0,0,0,0,3249,8108,9,2,89,0,0
1576578823,2019-12-17,11:33:43,1,0,0,2619,365,3854,0,0,0,28,2799,7724,7,2,91,0,0
1576578824,2019-12-17,11:33:44,0,0,0,2620,365,3854,0,0,0,28,3197,8215,8,3,89,0,0
1576578825,2019-12-17,11:33:45,2,0,0,2619,365,3854,0,0,0,100,2667,7267,5,3,92,0,0
1576578826,2019-12-17,11:33:46,0,0,0,2619,365,3854,0,0,0,24,3194,8327,7,3,90,0,0
1576578827,2019-12-17,11:33:47,1,0,0,2619,365,3854,0,0,0,28,2693,7310,6,4,90,0,0
1576578828,2019-12-17,11:33:48,0,0,0,2619,365,3854,0,0,0,0,2879,7424,7,2,90,0,0
1576578829,2019-12-17,11:33:49,2,0,0,2619,365,3854,0,0,0,28,5957,16758,18,9,73,0,0
1576578830,2019-12-17,11:33:50,1,0,0,2619,365,3854,0,0,0,100,3136,7973,6,3,91,0,0
1576578831,2019-12-17,11:33:51,2,0,0,2619,365,3854,0,0,0,88,2806,7423,8,3,88,0,0
1576578832,2019-12-17,11:33:52,0,0,0,2619,365,3854,0,0,0,0,2747,7418,5,2,93,0,0
1576578833,2019-12-17,11:33:53,1,0,0,2619,365,3854,0,0,0,28,3357,8879,7,5,88,0,0
1576578834,2019-12-17,11:33:54,1,0,0,2619,365,3854,0,0,0,28,3002,8025,7,2,91,0,0
1576578835,2019-12-17,11:33:55,1,0,0,2618,365,3854,0,0,0,28,3313,8920,10,4,86,0,0
1576578836,2019-12-17,11:33:56,1,0,0,2618,365,3854,0,0,0,372,2898,7713,7,2,91,0,0
1576578837,2019-12-17,11:33:57,3,0,0,2618,365,3854,0,0,0,32,2944,8215,5,2,93,0,0
1576578838,2019-12-17,11:33:58,1,0,0,2618,365,3854,0,0,0,0,3164,8231,10,3,87,0,0
1576578839,2019-12-17,11:33:59,1,0,0,2618,365,3854,0,0,0,28,8118,23504,24,13,63,0,0
